FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
1000.0,0.0,0.398288
1000.0,1.0,0.378857
1000.0,2.0,0.71331
1000.0,3.0,0.545885
1000.0,4.0,0.999885
1000.0,5.0,0.679198
1000.0,6.0,0.095191
1000.0,7.0,0.172799
1000.0,8.0,1.0
1000.0,9.0,1.0
1000.0,10.0,0.313421
1000.0,11.0,0.310901
1000.0,12.0,0.656595
1000.0,13.0,0.836809
1000.0,14.0,0.999315
1000.0,15.0,0.661107
1000.0,16.0,0.945896
1000.0,17.0,0.165914
1001.0,0.0,0.499485
1001.0,1.0,0.408668
1001.0,2.0,0.71536
1001.0,3.0,0.55323
1001.0,4.0,0.999896
1001.0,5.0,0.695624
1001.0,6.0,0.097171
1001.0,7.0,0.176553
1001.0,8.0,1.0
1001.0,9.0,1.0
1001.0,10.0,0.317562
1001.0,11.0,0.327784
1001.0,12.0,0.663316
1001.0,13.0,0.841143
1001.0,14.0,0.999348
1001.0,15.0,0.680532
1001.0,16.0,0.947504
1001.0,17.0,0.166701
1002.0,0.0,0.595137
1002.0,1.0,0.437477
1002.0,2.0,0.718432
1002.0,3.0,0.561095
1002.0,4.0,0.999899
1002.0,5.0,0.711132
1002.0,6.0,0.098992
1002.0,7.0,0.180409
1002.0,8.0,1.0
1002.0,9.0,1.0
1002.0,10.0,0.32181
1002.0,11.0,0.344455
1002.0,12.0,0.670726
1002.0,13.0,0.846019
1002.0,14.0,0.999424
1002.0,15.0,0.699957
1002.0,16.0,0.948826
1002.0,17.0,0.167611
1003.0,0.0,0.678239
1003.0,1.0,0.466369
1003.0,2.0,0.720735
1003.0,3.0,0.56933
1003.0,4.0,0.999882
1003.0,5.0,0.727379
1003.0,6.0,0.101448
1003.0,7.0,0.184897
1003.0,8.0,1.0
1003.0,9.0,1.0
1003.0,10.0,0.325967
1003.0,11.0,0.36114
1003.0,12.0,0.676227
1003.0,13.0,0.850912
1003.0,14.0,0.999477
1003.0,15.0,0.717882
1003.0,16.0,0.950164
1003.0,17.0,0.168778
1004.0,0.0,0.748205
1004.0,1.0,0.494596
1004.0,2.0,0.722583
1004.0,3.0,0.577067
1004.0,4.0,0.999885
1004.0,5.0,0.742505
1004.0,6.0,0.104035
1004.0,7.0,0.189085
1004.0,8.0,1.0
1004.0,9.0,1.0
1004.0,10.0,0.329696
1004.0,11.0,0.378269
1004.0,12.0,0.682368
1004.0,13.0,0.854911
1004.0,14.0,0.99953
1004.0,15.0,0.735333
1004.0,16.0,0.951794
1004.0,17.0,0.169638
1005.0,0.0,0.804737
1005.0,1.0,0.520875
1005.0,2.0,0.724651
1005.0,3.0,0.585003
1005.0,4.0,0.999874
1005.0,5.0,0.756115
1005.0,6.0,0.106355
1005.0,7.0,0.193189
1005.0,8.0,1.0
1005.0,9.0,1.0
1005.0,10.0,0.333988
1005.0,11.0,0.395412
1005.0,12.0,0.688871
1005.0,13.0,0.858596
1005.0,14.0,0.999554
1005.0,15.0,0.75046
1005.0,16.0,0.952815
1005.0,17.0,0.171348
1006.0,0.0,0.849171
1006.0,1.0,0.5453
1006.0,2.0,0.726835
1006.0,3.0,0.592694
1006.0,4.0,0.999878
1006.0,5.0,0.7691
1006.0,6.0,0.109046
1006.0,7.0,0.196568
1006.0,8.0,1.0
1006.0,9.0,1.0
1006.0,10.0,0.33753
1006.0,11.0,0.411752
1006.0,12.0,0.694771
1006.0,13.0,0.862304
1006.0,14.0,0.999615
1006.0,15.0,0.765891
1006.0,16.0,0.954192
1006.0,17.0,0.173318
1007.0,0.0,0.884358
1007.0,1.0,0.56892
1007.0,2.0,0.728536
1007.0,3.0,0.599674
1007.0,4.0,0.999875
1007.0,5.0,0.781226
1007.0,6.0,0.111686
1007.0,7.0,0.200859
1007.0,8.0,1.0
1007.0,9.0,1.0
1007.0,10.0,0.341081
1007.0,11.0,0.428346
1007.0,12.0,0.70048
1007.0,13.0,0.865805
1007.0,14.0,0.999607
1007.0,15.0,0.779431
1007.0,16.0,0.955227
1007.0,17.0,0.174888
1008.0,0.0,0.911305
1008.0,1.0,0.590474
1008.0,2.0,0.730715
1008.0,3.0,0.606519
1008.0,4.0,0.999859
1008.0,5.0,0.79305
1008.0,6.0,0.114693
1008.0,7.0,0.205451
1008.0,8.0,1.0
1008.0,9.0,1.0
1008.0,10.0,0.345114
1008.0,11.0,0.443851
1008.0,12.0,0.705341
1008.0,13.0,0.869322
1008.0,14.0,0.999637
1008.0,15.0,0.792292
1008.0,16.0,0.956629
1008.0,17.0,0.175476
1009.0,0.0,0.676972
1009.0,1.0,0.457629
1009.0,2.0,0.721721
1009.0,3.0,0.571113
1009.0,4.0,0.999763
1009.0,5.0,0.732753
1009.0,6.0,0.102106
1009.0,7.0,0.18492
1009.0,8.0,1.0
1009.0,9.0,1.0
1009.0,10.0,0.328158
1009.0,11.0,0.359127
1009.0,12.0,0.678557
1009.0,13.0,0.850792
1009.0,14.0,0.999326
1009.0,15.0,0.719246
1009.0,16.0,0.951082
1009.0,17.0,0.167576
1010.0,0.0,0.399467
1010.0,1.0,0.377725
1010.0,2.0,0.71314
1010.0,3.0,0.546558
1010.0,4.0,0.999725
1010.0,5.0,0.682772
1010.0,6.0,0.094408
1010.0,7.0,0.171257
1010.0,8.0,1.0
1010.0,9.0,1.0
1010.0,10.0,0.315081
1010.0,11.0,0.310292
1010.0,12.0,0.657601
1010.0,13.0,0.836302
1010.0,14.0,0.998965
1010.0,15.0,0.660622
1010.0,16.0,0.946891
1010.0,17.0,0.162551
2000.0,0.0,0.40186
2000.0,1.0,0.378229
2000.0,2.0,0.700451
2000.0,3.0,0.546835
2000.0,4.0,1.0
2000.0,5.0,0.691475
2000.0,6.0,0.062832
2000.0,7.0,0.120506
2000.0,8.0,1.0
2000.0,9.0,1.0
2000.0,10.0,0.318701
2000.0,11.0,0.310754
2000.0,12.0,0.66478
2000.0,13.0,0.835783
2000.0,14.0,1.0
2000.0,15.0,0.663591
2000.0,16.0,0.961894
2000.0,17.0,0.028855
2001.0,0.0,0.502352
2001.0,1.0,0.407255
2001.0,2.0,0.702426
2001.0,3.0,0.553989
2001.0,4.0,1.0
2001.0,5.0,0.70722
2001.0,6.0,0.064766
2001.0,7.0,0.123146
2001.0,8.0,1.0
2001.0,9.0,1.0
2001.0,10.0,0.322149
2001.0,11.0,0.327018
2001.0,12.0,0.670292
2001.0,13.0,0.839948
2001.0,14.0,1.0
2001.0,15.0,0.682483
2001.0,16.0,0.962645
2001.0,17.0,0.028878
2002.0,0.0,0.597442
2002.0,1.0,0.436892
2002.0,2.0,0.704862
2002.0,3.0,0.561743
2002.0,4.0,1.0
2002.0,5.0,0.722865
2002.0,6.0,0.065734
2002.0,7.0,0.126443
2002.0,8.0,1.0
2002.0,9.0,1.0
2002.0,10.0,0.325669
2002.0,11.0,0.34364
2002.0,12.0,0.676357
2002.0,13.0,0.844055
2002.0,14.0,1.0
2002.0,15.0,0.701439
2002.0,16.0,0.963554
2002.0,17.0,0.029165
2003.0,0.0,0.681338
2003.0,1.0,0.466273
2003.0,2.0,0.706797
2003.0,3.0,0.568614
2003.0,4.0,1.0
2003.0,5.0,0.738844
2003.0,6.0,0.067225
2003.0,7.0,0.129349
2003.0,8.0,1.0
2003.0,9.0,1.0
2003.0,10.0,0.330086
2003.0,11.0,0.359706
2003.0,12.0,0.681923
2003.0,13.0,0.848231
2003.0,14.0,1.0
2003.0,15.0,0.719846
2003.0,16.0,0.964725
2003.0,17.0,0.029311
2004.0,0.0,0.750791
2004.0,1.0,0.493268
2004.0,2.0,0.709373
2004.0,3.0,0.577499
2004.0,4.0,1.0
2004.0,5.0,0.752724
2004.0,6.0,0.068517
2004.0,7.0,0.13301
2004.0,8.0,1.0
2004.0,9.0,1.0
2004.0,10.0,0.334389
2004.0,11.0,0.375976
2004.0,12.0,0.687753
2004.0,13.0,0.852587
2004.0,14.0,1.0
2004.0,15.0,0.736472
2004.0,16.0,0.965587
2004.0,17.0,0.029668
2005.0,0.0,0.806614
2005.0,1.0,0.520417
2005.0,2.0,0.711163
2005.0,3.0,0.585162
2005.0,4.0,1.0
2005.0,5.0,0.765432
2005.0,6.0,0.069918
2005.0,7.0,0.136539
2005.0,8.0,1.0
2005.0,9.0,1.0
2005.0,10.0,0.339056
2005.0,11.0,0.393318
2005.0,12.0,0.693668
2005.0,13.0,0.857245
2005.0,14.0,1.0
2005.0,15.0,0.751287
2005.0,16.0,0.966366
2005.0,17.0,0.029901
2006.0,0.0,0.851126
2006.0,1.0,0.544131
2006.0,2.0,0.714361
2006.0,3.0,0.593125
2006.0,4.0,1.0
2006.0,5.0,0.778146
2006.0,6.0,0.071573
2006.0,7.0,0.140113
2006.0,8.0,1.0
2006.0,9.0,1.0
2006.0,10.0,0.342175
2006.0,11.0,0.41015
2006.0,12.0,0.698705
2006.0,13.0,0.861635
2006.0,14.0,1.0
2006.0,15.0,0.765683
2006.0,16.0,0.967182
2006.0,17.0,0.030097
2007.0,0.0,0.88586
2007.0,1.0,0.566797
2007.0,2.0,0.715885
2007.0,3.0,0.60017
2007.0,4.0,1.0
2007.0,5.0,0.789375
2007.0,6.0,0.073741
2007.0,7.0,0.144231
2007.0,8.0,1.0
2007.0,9.0,1.0
2007.0,10.0,0.346257
2007.0,11.0,0.426198
2007.0,12.0,0.704955
2007.0,13.0,0.865457
2007.0,14.0,1.0
2007.0,15.0,0.77971
2007.0,16.0,0.967926
2007.0,17.0,0.030331
2008.0,0.0,0.912722
2008.0,1.0,0.589304
2008.0,2.0,0.718044
2008.0,3.0,0.606419
2008.0,4.0,1.0
2008.0,5.0,0.799662
2008.0,6.0,0.075359
2008.0,7.0,0.148372
2008.0,8.0,1.0
2008.0,9.0,1.0
2008.0,10.0,0.34925
2008.0,11.0,0.442365
2008.0,12.0,0.710333
2008.0,13.0,0.868942
2008.0,14.0,1.0
2008.0,15.0,0.792322
2008.0,16.0,0.968648
2008.0,17.0,0.030553
2009.0,0.0,0.681456
2009.0,1.0,0.456544
2009.0,2.0,0.705832
2009.0,3.0,0.572415
2009.0,4.0,1.0
2009.0,5.0,0.740325
2009.0,6.0,0.06729
2009.0,7.0,0.13125
2009.0,8.0,1.0
2009.0,9.0,1.0
2009.0,10.0,0.328778
2009.0,11.0,0.359239
2009.0,12.0,0.684339
2009.0,13.0,0.851395
2009.0,14.0,1.0
2009.0,15.0,0.718259
2009.0,16.0,0.96482
2009.0,17.0,0.028754
2010.0,0.0,0.403104
2010.0,1.0,0.37585
2010.0,2.0,0.698515
2010.0,3.0,0.548955
2010.0,4.0,1.0
2010.0,5.0,0.691289
2010.0,6.0,0.062192
2010.0,7.0,0.120074
2010.0,8.0,1.0
2010.0,9.0,1.0
2010.0,10.0,0.316472
2010.0,11.0,0.310633
2010.0,12.0,0.666236
2010.0,13.0,0.838548
2010.0,14.0,1.0
2010.0,15.0,0.658516
2010.0,16.0,0.961758
2010.0,17.0,0.027392
3000.0,0.0,0.403782
3000.0,1.0,0.37881
3000.0,2.0,0.70302
3000.0,3.0,0.550522
3000.0,4.0,1.0
3000.0,5.0,0.693845
3000.0,6.0,0.05341
3000.0,7.0,0.101184
3000.0,8.0,1.0
3000.0,9.0,1.0
3000.0,10.0,0.326791
3000.0,11.0,0.308936
3000.0,12.0,0.661332
3000.0,13.0,0.85395
3000.0,14.0,1.0
3000.0,15.0,0.65811
3000.0,16.0,0.965976
3000.0,17.0,0.003583
3001.0,0.0,0.504843
3001.0,1.0,0.408638
3001.0,2.0,0.704982
3001.0,3.0,0.557646
3001.0,4.0,1.0
3001.0,5.0,0.709029
3001.0,6.0,0.054628
3001.0,7.0,0.104559
3001.0,8.0,1.0
3001.0,9.0,1.0
3001.0,10.0,0.329849
3001.0,11.0,0.324024
3001.0,12.0,0.667511
3001.0,13.0,0.857904
3001.0,14.0,1.0
3001.0,15.0,0.677454
3001.0,16.0,0.966833
3001.0,17.0,0.003643
3002.0,0.0,0.599136
3002.0,1.0,0.438651
3002.0,2.0,0.706887
3002.0,3.0,0.564474
3002.0,4.0,1.0
3002.0,5.0,0.724856
3002.0,6.0,0.055472
3002.0,7.0,0.107806
3002.0,8.0,1.0
3002.0,9.0,1.0
3002.0,10.0,0.334464
3002.0,11.0,0.340235
3002.0,12.0,0.673854
3002.0,13.0,0.861673
3002.0,14.0,1.0
3002.0,15.0,0.696391
3002.0,16.0,0.967915
3002.0,17.0,0.003658
3003.0,0.0,0.682907
3003.0,1.0,0.467639
3003.0,2.0,0.708765
3003.0,3.0,0.571509
3003.0,4.0,1.0
3003.0,5.0,0.739964
3003.0,6.0,0.056661
3003.0,7.0,0.11078
3003.0,8.0,1.0
3003.0,9.0,1.0
3003.0,10.0,0.33889
3003.0,11.0,0.356849
3003.0,12.0,0.680423
3003.0,13.0,0.865694
3003.0,14.0,1.0
3003.0,15.0,0.71487
3003.0,16.0,0.968847
3003.0,17.0,0.003682
3004.0,0.0,0.751253
3004.0,1.0,0.495326
3004.0,2.0,0.710573
3004.0,3.0,0.578303
3004.0,4.0,1.0
3004.0,5.0,0.754176
3004.0,6.0,0.057814
3004.0,7.0,0.113455
3004.0,8.0,1.0
3004.0,9.0,1.0
3004.0,10.0,0.343303
3004.0,11.0,0.374277
3004.0,12.0,0.686564
3004.0,13.0,0.868812
3004.0,14.0,1.0
3004.0,15.0,0.731993
3004.0,16.0,0.969383
3004.0,17.0,0.003712
3005.0,0.0,0.807565
3005.0,1.0,0.521248
3005.0,2.0,0.712688
3005.0,3.0,0.586279
3005.0,4.0,1.0
3005.0,5.0,0.767117
3005.0,6.0,0.058994
3005.0,7.0,0.117015
3005.0,8.0,1.0
3005.0,9.0,1.0
3005.0,10.0,0.347515
3005.0,11.0,0.39108
3005.0,12.0,0.692756
3005.0,13.0,0.872609
3005.0,14.0,1.0
3005.0,15.0,0.748512
3005.0,16.0,0.970101
3005.0,17.0,0.003774
3006.0,0.0,0.852402
3006.0,1.0,0.545718
3006.0,2.0,0.714593
3006.0,3.0,0.593655
3006.0,4.0,1.0
3006.0,5.0,0.780095
3006.0,6.0,0.060572
3006.0,7.0,0.119487
3006.0,8.0,1.0
3006.0,9.0,1.0
3006.0,10.0,0.351812
3006.0,11.0,0.407932
3006.0,12.0,0.69842
3006.0,13.0,0.876036
3006.0,14.0,1.0
3006.0,15.0,0.762754
3006.0,16.0,0.970849
3006.0,17.0,0.003837
3007.0,0.0,0.887532
3007.0,1.0,0.568316
3007.0,2.0,0.716912
3007.0,3.0,0.600145
3007.0,4.0,1.0
3007.0,5.0,0.791881
3007.0,6.0,0.061863
3007.0,7.0,0.122048
3007.0,8.0,1.0
3007.0,9.0,1.0
3007.0,10.0,0.355566
3007.0,11.0,0.423475
3007.0,12.0,0.703589
3007.0,13.0,0.879086
3007.0,14.0,1.0
3007.0,15.0,0.776823
3007.0,16.0,0.971707
3007.0,17.0,0.00377
3008.0,0.0,0.913811
3008.0,1.0,0.590362
3008.0,2.0,0.719797
3008.0,3.0,0.606565
3008.0,4.0,1.0
3008.0,5.0,0.802558
3008.0,6.0,0.063221
3008.0,7.0,0.124909
3008.0,8.0,1.0
3008.0,9.0,1.0
3008.0,10.0,0.359681
3008.0,11.0,0.439103
3008.0,12.0,0.709825
3008.0,13.0,0.882207
3008.0,14.0,1.0
3008.0,15.0,0.789784
3008.0,16.0,0.972511
3008.0,17.0,0.003864
3009.0,0.0,0.684137
3009.0,1.0,0.45906
3009.0,2.0,0.709591
3009.0,3.0,0.572557
3009.0,4.0,1.0
3009.0,5.0,0.743853
3009.0,6.0,0.05643
3009.0,7.0,0.110493
3009.0,8.0,1.0
3009.0,9.0,1.0
3009.0,10.0,0.341197
3009.0,11.0,0.356994
3009.0,12.0,0.681117
3009.0,13.0,0.864466
3009.0,14.0,1.0
3009.0,15.0,0.715855
3009.0,16.0,0.969106
3009.0,17.0,0.003725
3010.0,0.0,0.407097
3010.0,1.0,0.378675
3010.0,2.0,0.70247
3010.0,3.0,0.549092
3010.0,4.0,1.0
3010.0,5.0,0.697117
3010.0,6.0,0.052621
3010.0,7.0,0.102314
3010.0,8.0,1.0
3010.0,9.0,1.0
3010.0,10.0,0.32845
3010.0,11.0,0.309134
3010.0,12.0,0.660475
3010.0,13.0,0.851214
3010.0,14.0,1.0
3010.0,15.0,0.658216
3010.0,16.0,0.966641
3010.0,17.0,0.003575
4000.0,0.0,0.406046
4000.0,1.0,0.378444
4000.0,2.0,0.70926
4000.0,3.0,0.54944
4000.0,4.0,1.0
4000.0,5.0,0.693884
4000.0,6.0,0.057687
4000.0,7.0,0.097174
4000.0,8.0,1.0
4000.0,9.0,1.0
4000.0,10.0,0.31632
4000.0,11.0,0.311585
4000.0,12.0,0.669191
4000.0,13.0,0.845506
4000.0,14.0,1.0
4000.0,15.0,0.657993
4000.0,16.0,0.974624
4000.0,17.0,0.000265
4001.0,0.0,0.507166
4001.0,1.0,0.408388
4001.0,2.0,0.711579
4001.0,3.0,0.556543
4001.0,4.0,1.0
4001.0,5.0,0.709475
4001.0,6.0,0.059038
4001.0,7.0,0.100133
4001.0,8.0,1.0
4001.0,9.0,1.0
4001.0,10.0,0.319446
4001.0,11.0,0.327853
4001.0,12.0,0.674763
4001.0,13.0,0.849326
4001.0,14.0,1.0
4001.0,15.0,0.677168
4001.0,16.0,0.975235
4001.0,17.0,0.000255
4002.0,0.0,0.601259
4002.0,1.0,0.437452
4002.0,2.0,0.713861
4002.0,3.0,0.563401
4002.0,4.0,1.0
4002.0,5.0,0.724959
4002.0,6.0,0.060207
4002.0,7.0,0.10288
4002.0,8.0,1.0
4002.0,9.0,1.0
4002.0,10.0,0.322635
4002.0,11.0,0.344257
4002.0,12.0,0.681265
4002.0,13.0,0.85307
4002.0,14.0,1.0
4002.0,15.0,0.696033
4002.0,16.0,0.976061
4002.0,17.0,0.000238
4003.0,0.0,0.683607
4003.0,1.0,0.465592
4003.0,2.0,0.716273
4003.0,3.0,0.571001
4003.0,4.0,1.0
4003.0,5.0,0.739398
4003.0,6.0,0.061782
4003.0,7.0,0.10581
4003.0,8.0,1.0
4003.0,9.0,1.0
4003.0,10.0,0.326353
4003.0,11.0,0.361118
4003.0,12.0,0.687166
4003.0,13.0,0.856835
4003.0,14.0,1.0
4003.0,15.0,0.714254
4003.0,16.0,0.976759
4003.0,17.0,0.00023
4004.0,0.0,0.753356
4004.0,1.0,0.493409
4004.0,2.0,0.718762
4004.0,3.0,0.578895
4004.0,4.0,1.0
4004.0,5.0,0.75332
4004.0,6.0,0.06326
4004.0,7.0,0.108057
4004.0,8.0,1.0
4004.0,9.0,1.0
4004.0,10.0,0.329817
4004.0,11.0,0.378095
4004.0,12.0,0.693144
4004.0,13.0,0.860895
4004.0,14.0,1.0
4004.0,15.0,0.730946
4004.0,16.0,0.977875
4004.0,17.0,0.000244
4005.0,0.0,0.809351
4005.0,1.0,0.518894
4005.0,2.0,0.721315
4005.0,3.0,0.586134
4005.0,4.0,1.0
4005.0,5.0,0.766004
4005.0,6.0,0.064879
4005.0,7.0,0.111329
4005.0,8.0,1.0
4005.0,9.0,1.0
4005.0,10.0,0.333312
4005.0,11.0,0.394782
4005.0,12.0,0.699445
4005.0,13.0,0.864392
4005.0,14.0,1.0
4005.0,15.0,0.746998
4005.0,16.0,0.978741
4005.0,17.0,0.000232
4006.0,0.0,0.852951
4006.0,1.0,0.54356
4006.0,2.0,0.723569
4006.0,3.0,0.593731
4006.0,4.0,1.0
4006.0,5.0,0.778942
4006.0,6.0,0.066585
4006.0,7.0,0.114209
4006.0,8.0,1.0
4006.0,9.0,1.0
4006.0,10.0,0.337562
4006.0,11.0,0.409931
4006.0,12.0,0.705778
4006.0,13.0,0.867679
4006.0,14.0,1.0
4006.0,15.0,0.7623
4006.0,16.0,0.979493
4006.0,17.0,0.000235
4007.0,0.0,0.887994
4007.0,1.0,0.566775
4007.0,2.0,0.726345
4007.0,3.0,0.600442
4007.0,4.0,1.0
4007.0,5.0,0.790653
4007.0,6.0,0.068877
4007.0,7.0,0.116843
4007.0,8.0,1.0
4007.0,9.0,1.0
4007.0,10.0,0.339948
4007.0,11.0,0.426422
4007.0,12.0,0.710696
4007.0,13.0,0.870801
4007.0,14.0,1.0
4007.0,15.0,0.776821
4007.0,16.0,0.98034
4007.0,17.0,0.000259
4008.0,0.0,0.914331
4008.0,1.0,0.588502
4008.0,2.0,0.728286
4008.0,3.0,0.60676
4008.0,4.0,1.0
4008.0,5.0,0.801155
4008.0,6.0,0.07047
4008.0,7.0,0.120227
4008.0,8.0,1.0
4008.0,9.0,1.0
4008.0,10.0,0.34424
4008.0,11.0,0.442071
4008.0,12.0,0.716431
4008.0,13.0,0.874211
4008.0,14.0,1.0
4008.0,15.0,0.789276
4008.0,16.0,0.980788
4008.0,17.0,0.000258
4009.0,0.0,0.683833
4009.0,1.0,0.457807
4009.0,2.0,0.718998
4009.0,3.0,0.57316
4009.0,4.0,1.0
4009.0,5.0,0.74131
4009.0,6.0,0.06292
4009.0,7.0,0.106034
4009.0,8.0,1.0
4009.0,9.0,1.0
4009.0,10.0,0.326132
4009.0,11.0,0.358443
4009.0,12.0,0.68904
4009.0,13.0,0.857166
4009.0,14.0,1.0
4009.0,15.0,0.716004
4009.0,16.0,0.977569
4009.0,17.0,0.000219
4010.0,0.0,0.403325
4010.0,1.0,0.377651
4010.0,2.0,0.71216
4010.0,3.0,0.54939
4010.0,4.0,1.0
4010.0,5.0,0.692173
4010.0,6.0,0.057952
4010.0,7.0,0.096832
4010.0,8.0,1.0
4010.0,9.0,1.0
4010.0,10.0,0.314394
4010.0,11.0,0.310357
4010.0,12.0,0.668901
4010.0,13.0,0.843794
4010.0,14.0,1.0
4010.0,15.0,0.655676
4010.0,16.0,0.975187
4010.0,17.0,0.000169
5000.0,0.0,0.405145
5000.0,1.0,0.376853
5000.0,2.0,0.708179
5000.0,3.0,0.547348
5000.0,4.0,1.0
5000.0,5.0,0.689966
5000.0,6.0,0.05988
5000.0,7.0,0.090822
