FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
1.0,18.0,0.5
1.0,19.0,0.5
1.0,20.0,0.5
1.0,21.0,0.5
1.0,22.0,0.5
1.0,23.0,0.5
1.0,24.0,0.5
1.0,25.0,0.5
1.0,26.0,0.5
1.0,27.0,0.5
1.0,28.0,0.5
1.0,29.0,0.5
1.0,30.0,0.5
1.0,31.0,0.5
1.0,32.0,0.5
1.0,33.0,0.5
1.0,34.0,0.5
1.0,35.0,0.5
1.0,36.0,0.5
1.0,37.0,0.5
1.0,38.0,0.5
1.0,39.0,0.5
1.0,40.0,0.5
1.0,41.0,0.5
1.0,42.0,0.5
1.0,43.0,0.5
1.0,44.0,0.5
1.0,45.0,0.5
1.0,46.0,0.5
1.0,47.0,0.5
1.0,48.0,0.5
1.0,49.0,0.5
1.0,50.0,0.5
1.0,51.0,0.5
1.0,52.0,0.5
1.0,53.0,0.5
1.0,54.0,0.5
1.0,55.0,0.5
1.0,56.0,0.5
1.0,57.0,0.5
1.0,58.0,0.5
1.0,59.0,0.5
1.0,60.0,0.5
1.0,61.0,0.5
1.0,62.0,0.5
1.0,63.0,0.5
1.0,64.0,0.5
1.0,65.0,0.5
1.0,66.0,0.5
1.0,67.0,0.5
1.0,68.0,0.5
1.0,69.0,0.5
1.0,70.0,0.5
1.0,71.0,0.5
1.0,72.0,0.5
1.0,73.0,0.5
1.0,74.0,0.5
1.0,75.0,0.5
1.0,76.0,0.5
1.0,77.0,0.5
1.0,78.0,0.5
1.0,79.0,0.5
1.0,80.0,0.5
1.0,81.0,0.5
1.0,82.0,0.5
1.0,83.0,0.5
1.0,84.0,0.5
1.0,85.0,0.5
1.0,86.0,0.5
1.0,87.0,0.5
1.0,88.0,0.5
1.0,89.0,0.5
1.0,90.0,0.5
1.0,91.0,0.5
1.0,92.0,0.5
1.0,93.0,0.5
1.0,94.0,0.5
1.0,95.0,0.5
1.0,96.0,0.5
1.0,97.0,0.5
1.0,98.0,0.5
1.0,99.0,0.5
1.0,100.0,0.5
1.0,101.0,0.5
1.0,102.0,0.5
1.0,103.0,0.5
1.0,104.0,0.5
1.0,105.0,0.5
1.0,106.0,0.5
1.0,107.0,0.5
1.0,108.0,0.5
1.0,109.0,0.5
1.0,110.0,0.5
1.0,111.0,0.5
1.0,112.0,0.5
1.0,113.0,0.5
1.0,114.0,0.5
1.0,115.0,0.5
1.0,116.0,0.5
1.0,117.0,0.5
1.0,118.0,0.5
1.0,119.0,0.5
1.0,120.0,0.5
1.0,121.0,0.5
1.0,122.0,0.5
1.0,123.0,0.5
1.0,124.0,0.5
1.0,125.0,0.5
1.0,126.0,0.5
1000.0,0.0,0.516775
1000.0,1.0,0.493634
1000.0,2.0,0.477716
1000.0,3.0,0.519575
1000.0,4.0,0.506977
1000.0,5.0,0.476237
1000.0,6.0,0.505316
1000.0,7.0,0.526046
1000.0,8.0,0.49899
1000.0,9.0,0.490929
1000.0,10.0,0.49864
1000.0,11.0,0.52578
1000.0,12.0,0.487143
1000.0,13.0,0.468328
1000.0,14.0,0.481242
1000.0,15.0,0.490289
1000.0,16.0,0.502885
1000.0,17.0,0.510259
1000.0,18.0,0.47551
1000.0,19.0,0.503887
1000.0,20.0,0.506844
1000.0,21.0,0.511036
1000.0,22.0,0.482694
1000.0,23.0,0.489906
1000.0,24.0,0.503099
1000.0,25.0,0.514422
1000.0,26.0,0.499618
1000.0,27.0,0.49722
1000.0,28.0,0.488857
1000.0,29.0,0.497718
1000.0,30.0,0.486813
1000.0,31.0,0.50639
1000.0,32.0,0.50895
1000.0,33.0,0.507507
1000.0,34.0,0.487341
1000.0,35.0,0.483612
1000.0,36.0,0.529985
1000.0,37.0,0.518266
1000.0,38.0,0.480414
1000.0,39.0,0.517222
1000.0,40.0,0.489884
1000.0,41.0,0.489802
1000.0,42.0,0.522081
1000.0,43.0,0.497376
1000.0,44.0,0.486729
1000.0,45.0,0.501308
1000.0,46.0,0.476068
1000.0,47.0,0.505018
1000.0,48.0,0.507175
1000.0,49.0,0.491675
1000.0,50.0,0.536038
1000.0,51.0,0.494517
1000.0,52.0,0.467459
1000.0,53.0,0.497438
1000.0,54.0,0.496013
1000.0,55.0,0.489345
1000.0,56.0,0.475469
1000.0,57.0,0.501554
1000.0,58.0,0.490846
1000.0,59.0,0.483079
1000.0,60.0,0.493581
1000.0,61.0,0.503616
1000.0,62.0,0.488224
1000.0,63.0,0.499223
1000.0,64.0,0.528679
1000.0,65.0,0.493536
1000.0,66.0,0.514809
1000.0,67.0,0.50748
1000.0,68.0,0.476257
1000.0,69.0,0.481683
1000.0,70.0,0.514109
1000.0,71.0,0.489356
1000.0,72.0,0.514336
1000.0,73.0,0.474594
1000.0,74.0,0.526031
1000.0,75.0,0.488152
1000.0,76.0,0.484925
1000.0,77.0,0.513437
1000.0,78.0,0.516813
1000.0,79.0,0.512865
1000.0,80.0,0.482032
1000.0,81.0,0.507915
1000.0,82.0,0.514216
1000.0,83.0,0.518038
1000.0,84.0,0.492337
1000.0,85.0,0.493314
1000.0,86.0,0.510423
1000.0,87.0,0.522181
1000.0,88.0,0.49915
1000.0,89.0,0.533819
1000.0,90.0,0.509425
1000.0,91.0,0.499251
1000.0,92.0,0.500915
1000.0,93.0,0.509891
1000.0,94.0,0.491801
1000.0,95.0,0.518641
1000.0,96.0,0.517198
1000.0,97.0,0.50652
1000.0,98.0,0.508196
1000.0,99.0,0.50626
1000.0,100.0,0.483359
1000.0,101.0,0.513282
1000.0,102.0,0.502581
1000.0,103.0,0.497406
1000.0,104.0,0.510336
1000.0,105.0,0.50978
1000.0,106.0,0.489961
1000.0,107.0,0.488908
1000.0,108.0,0.535008
1000.0,109.0,0.540581
1000.0,110.0,0.511681
1000.0,111.0,0.503308
1000.0,112.0,0.494152
1000.0,113.0,0.473969
1000.0,114.0,0.508859
1000.0,115.0,0.494805
1000.0,116.0,0.495477
1000.0,117.0,0.508927
1000.0,118.0,0.48918
1000.0,119.0,0.513045
1000.0,120.0,0.519992
1000.0,121.0,0.483077
1000.0,122.0,0.483943
1000.0,123.0,0.52146
1000.0,124.0,0.469427
1000.0,125.0,0.49775
1000.0,126.0,0.506571
1001.0,0.0,0.516469
1001.0,1.0,0.49344
1001.0,2.0,0.477216
1001.0,3.0,0.519364
1001.0,4.0,0.507201
1001.0,5.0,0.476717
1001.0,6.0,0.505043
1001.0,7.0,0.527289
1001.0,8.0,0.498551
1001.0,9.0,0.490828
1001.0,10.0,0.498575
1001.0,11.0,0.525251
1001.0,12.0,0.485905
1001.0,13.0,0.468936
1001.0,14.0,0.481147
1001.0,15.0,0.490387
1001.0,16.0,0.50252
1001.0,17.0,0.509714
1001.0,18.0,0.475067
1001.0,19.0,0.503834
1001.0,20.0,0.507142
1001.0,21.0,0.512022
1001.0,22.0,0.483683
1001.0,23.0,0.489251
1001.0,24.0,0.503424
1001.0,25.0,0.515274
1001.0,26.0,0.499474
1001.0,27.0,0.49683
1001.0,28.0,0.48873
1001.0,29.0,0.497874
1001.0,30.0,0.48659
1001.0,31.0,0.505021
1001.0,32.0,0.50976
1001.0,33.0,0.507381
1001.0,34.0,0.488222
1001.0,35.0,0.483403
1001.0,36.0,0.529183
1001.0,37.0,0.517955
1001.0,38.0,0.480257
1001.0,39.0,0.516749
1001.0,40.0,0.489503
1001.0,41.0,0.489538
1001.0,42.0,0.521686
1001.0,43.0,0.498214
1001.0,44.0,0.486671
1001.0,45.0,0.500906
1001.0,46.0,0.475888
1001.0,47.0,0.505488
1001.0,48.0,0.507579
1001.0,49.0,0.491796
1001.0,50.0,0.53622
1001.0,51.0,0.494398
1001.0,52.0,0.467873
1001.0,53.0,0.497433
1001.0,54.0,0.496476
1001.0,55.0,0.489806
1001.0,56.0,0.475586
1001.0,57.0,0.50202
1001.0,58.0,0.490882
1001.0,59.0,0.483092
1001.0,60.0,0.494069
1001.0,61.0,0.503738
1001.0,62.0,0.488435
1001.0,63.0,0.498687
1001.0,64.0,0.529736
1001.0,65.0,0.494119
1001.0,66.0,0.515324
1001.0,67.0,0.507483
1001.0,68.0,0.476266
1001.0,69.0,0.481698
1001.0,70.0,0.51411
1001.0,71.0,0.488674
1001.0,72.0,0.51381
1001.0,73.0,0.474092
1001.0,74.0,0.526362
1001.0,75.0,0.4885
1001.0,76.0,0.484507
1001.0,77.0,0.512497
1001.0,78.0,0.516413
1001.0,79.0,0.512962
1001.0,80.0,0.481725
1001.0,81.0,0.508348
1001.0,82.0,0.51401
1001.0,83.0,0.518487
1001.0,84.0,0.492703
1001.0,85.0,0.493608
1001.0,86.0,0.510402
1001.0,87.0,0.522932
1001.0,88.0,0.499529
1001.0,89.0,0.534575
1001.0,90.0,0.508347
1001.0,91.0,0.499521
1001.0,92.0,0.501875
1001.0,93.0,0.509848
1001.0,94.0,0.491798
1001.0,95.0,0.519558
1001.0,96.0,0.517605
1001.0,97.0,0.506194
1001.0,98.0,0.508413
1001.0,99.0,0.505579
1001.0,100.0,0.482961
1001.0,101.0,0.513113
1001.0,102.0,0.503034
1001.0,103.0,0.497065
1001.0,104.0,0.510273
1001.0,105.0,0.511086
1001.0,106.0,0.489515
1001.0,107.0,0.489151
1001.0,108.0,0.534902
1001.0,109.0,0.5402
1001.0,110.0,0.510774
1001.0,111.0,0.503559
1001.0,112.0,0.494876
1001.0,113.0,0.472988
1001.0,114.0,0.507568
1001.0,115.0,0.495327
1001.0,116.0,0.495541
1001.0,117.0,0.508535
1001.0,118.0,0.488572
1001.0,119.0,0.513336
1001.0,120.0,0.519528
1001.0,121.0,0.483225
1001.0,122.0,0.484314
1001.0,123.0,0.521126
1001.0,124.0,0.470724
1001.0,125.0,0.496385
1001.0,126.0,0.506078
1002.0,0.0,0.516501
1002.0,1.0,0.493176
1002.0,2.0,0.476217
1002.0,3.0,0.519853
1002.0,4.0,0.506984
1002.0,5.0,0.476529
1002.0,6.0,0.505368
1002.0,7.0,0.526525
1002.0,8.0,0.498988
1002.0,9.0,0.489674
1002.0,10.0,0.498397
1002.0,11.0,0.524002
1002.0,12.0,0.486076
1002.0,13.0,0.469154
1002.0,14.0,0.481181
1002.0,15.0,0.490579
1002.0,16.0,0.501753
1002.0,17.0,0.509093
1002.0,18.0,0.475137
1002.0,19.0,0.50421
1002.0,20.0,0.506826
1002.0,21.0,0.511963
1002.0,22.0,0.483756
1002.0,23.0,0.488655
1002.0,24.0,0.503307
1002.0,25.0,0.51604
1002.0,26.0,0.499129
1002.0,27.0,0.496669
1002.0,28.0,0.488925
1002.0,29.0,0.497224
1002.0,30.0,0.487697
1002.0,31.0,0.504986
1002.0,32.0,0.510787
1002.0,33.0,0.507006
1002.0,34.0,0.488304
1002.0,35.0,0.483358
1002.0,36.0,0.52885
1002.0,37.0,0.517915
1002.0,38.0,0.481084
1002.0,39.0,0.51631
1002.0,40.0,0.48987
1002.0,41.0,0.489326
1002.0,42.0,0.521139
1002.0,43.0,0.497591
1002.0,44.0,0.487221
1002.0,45.0,0.501134
1002.0,46.0,0.475262
1002.0,47.0,0.506027
1002.0,48.0,0.507634
1002.0,49.0,0.492229
1002.0,50.0,0.536945
1002.0,51.0,0.495173
1002.0,52.0,0.467965
1002.0,53.0,0.497758
1002.0,54.0,0.496012
1002.0,55.0,0.490029
1002.0,56.0,0.475476
1002.0,57.0,0.502071
1002.0,58.0,0.491013
1002.0,59.0,0.483133
1002.0,60.0,0.494321
1002.0,61.0,0.50359
1002.0,62.0,0.489026
1002.0,63.0,0.498889
1002.0,64.0,0.530055
1002.0,65.0,0.493752
1002.0,66.0,0.515162
1002.0,67.0,0.507637
1002.0,68.0,0.476363
1002.0,69.0,0.482099
1002.0,70.0,0.514104
1002.0,71.0,0.489148
1002.0,72.0,0.513964
1002.0,73.0,0.47407
1002.0,74.0,0.526931
1002.0,75.0,0.487981
1002.0,76.0,0.484645
1002.0,77.0,0.511869
1002.0,78.0,0.516168
1002.0,79.0,0.513872
1002.0,80.0,0.481786
1002.0,81.0,0.50933
1002.0,82.0,0.513894
1002.0,83.0,0.517634
1002.0,84.0,0.492327
1002.0,85.0,0.493128
1002.0,86.0,0.510734
1002.0,87.0,0.522723
1002.0,88.0,0.499471
1002.0,89.0,0.534542
1002.0,90.0,0.508677
1002.0,91.0,0.499305
1002.0,92.0,0.501651
1002.0,93.0,0.509879
1002.0,94.0,0.491609
1002.0,95.0,0.519874
1002.0,96.0,0.518543
1002.0,97.0,0.506971
1002.0,98.0,0.508501
1002.0,99.0,0.505637
1002.0,100.0,0.482938
1002.0,101.0,0.513405
1002.0,102.0,0.502492
1002.0,103.0,0.496602
1002.0,104.0,0.510562
1002.0,105.0,0.50972
1002.0,106.0,0.488916
1002.0,107.0,0.488705
1002.0,108.0,0.534876
1002.0,109.0,0.539481
1002.0,110.0,0.511312
1002.0,111.0,0.502964
1002.0,112.0,0.494551
1002.0,113.0,0.473501
1002.0,114.0,0.507818
1002.0,115.0,0.495844
1002.0,116.0,0.495485
1002.0,117.0,0.507896
1002.0,118.0,0.4879
1002.0,119.0,0.512498
1002.0,120.0,0.518796
1002.0,121.0,0.48344
1002.0,122.0,0.485027
1002.0,123.0,0.521473
1002.0,124.0,0.470455
1002.0,125.0,0.496788
1002.0,126.0,0.506542
1003.0,0.0,0.516831
1003.0,1.0,0.493385
1003.0,2.0,0.476323
1003.0,3.0,0.520138
1003.0,4.0,0.507087
1003.0,5.0,0.475694
1003.0,6.0,0.505632
1003.0,7.0,0.525952
1003.0,8.0,0.49891
1003.0,9.0,0.489065
1003.0,10.0,0.498668
1003.0,11.0,0.524291
1003.0,12.0,0.485748
1003.0,13.0,0.469021
1003.0,14.0,0.481113
1003.0,15.0,0.490724
1003.0,16.0,0.501506
1003.0,17.0,0.509114
1003.0,18.0,0.474584
1003.0,19.0,0.503848
1003.0,20.0,0.506438
1003.0,21.0,0.511957
1003.0,22.0,0.484187
1003.0,23.0,0.489147
1003.0,24.0,0.503167
1003.0,25.0,0.516274
1003.0,26.0,0.499976
1003.0,27.0,0.496303
1003.0,28.0,0.488839
1003.0,29.0,0.496574
1003.0,30.0,0.487303
1003.0,31.0,0.504802
1003.0,32.0,0.510816
1003.0,33.0,0.505937
1003.0,34.0,0.487915
1003.0,35.0,0.482515
1003.0,36.0,0.528983
1003.0,37.0,0.517872
1003.0,38.0,0.480821
1003.0,39.0,0.515642
1003.0,40.0,0.490623
1003.0,41.0,0.48976
1003.0,42.0,0.521172
1003.0,43.0,0.497691
1003.0,44.0,0.488025
1003.0,45.0,0.501972
1003.0,46.0,0.475574
1003.0,47.0,0.506306
1003.0,48.0,0.507983
1003.0,49.0,0.492449
1003.0,50.0,0.537073
1003.0,51.0,0.495523
1003.0,52.0,0.469023
1003.0,53.0,0.497947
1003.0,54.0,0.496182
1003.0,55.0,0.489244
1003.0,56.0,0.475478
1003.0,57.0,0.502221
1003.0,58.0,0.491037
1003.0,59.0,0.483863
1003.0,60.0,0.493965
1003.0,61.0,0.504004
1003.0,62.0,0.488755
1003.0,63.0,0.499427
1003.0,64.0,0.530428
1003.0,65.0,0.493757
1003.0,66.0,0.514741
1003.0,67.0,0.507433
1003.0,68.0,0.475899
1003.0,69.0,0.482119
1003.0,70.0,0.513593
1003.0,71.0,0.489082
1003.0,72.0,0.514695
1003.0,73.0,0.474402
1003.0,74.0,0.527092
1003.0,75.0,0.488114
1003.0,76.0,0.484973
1003.0,77.0,0.512278
1003.0,78.0,0.51603
1003.0,79.0,0.513842
1003.0,80.0,0.482021
1003.0,81.0,0.510336
1003.0,82.0,0.513667
1003.0,83.0,0.517961
1003.0,84.0,0.49219
1003.0,85.0,0.492334
1003.0,86.0,0.512004
1003.0,87.0,0.523315
1003.0,88.0,0.498719
1003.0,89.0,0.534597
1003.0,90.0,0.507823
1003.0,91.0,0.50039
1003.0,92.0,0.502058
1003.0,93.0,0.509371
1003.0,94.0,0.491536
1003.0,95.0,0.519856
1003.0,96.0,0.519051
1003.0,97.0,0.505389
1003.0,98.0,0.508616
1003.0,99.0,0.505644
1003.0,100.0,0.482964
1003.0,101.0,0.512401
1003.0,102.0,0.502533
1003.0,103.0,0.4972
1003.0,104.0,0.510638
1003.0,105.0,0.51004
1003.0,106.0,0.489127
1003.0,107.0,0.488884
1003.0,108.0,0.535815
1003.0,109.0,0.538938
1003.0,110.0,0.510669
1003.0,111.0,0.503523
1003.0,112.0,0.494083
1003.0,113.0,0.474592
1003.0,114.0,0.508196
1003.0,115.0,0.495755
1003.0,116.0,0.494715
1003.0,117.0,0.50773
1003.0,118.0,0.487579
1003.0,119.0,0.512036
1003.0,120.0,0.518774
1003.0,121.0,0.483695
1003.0,122.0,0.485549
1003.0,123.0,0.521147
1003.0,124.0,0.470284
1003.0,125.0,0.497324
1003.0,126.0,0.506662
1004.0,0.0,0.51609
1004.0,1.0,0.493422
1004.0,2.0,0.476139
1004.0,3.0,0.520685
1004.0,4.0,0.506973
1004.0,5.0,0.475374
1004.0,6.0,0.505233
1004.0,7.0,0.526448
1004.0,8.0,0.499274
1004.0,9.0,0.488505
1004.0,10.0,0.500354
1004.0,11.0,0.52427
1004.0,12.0,0.485295
1004.0,13.0,0.469037
1004.0,14.0,0.481539
1004.0,15.0,0.490248
1004.0,16.0,0.501345
1004.0,17.0,0.508634
1004.0,18.0,0.474701
1004.0,19.0,0.504415
1004.0,20.0,0.504768
1004.0,21.0,0.512169
1004.0,22.0,0.484703
1004.0,23.0,0.488427
1004.0,24.0,0.503008
1004.0,25.0,0.515714
1004.0,26.0,0.499858
1004.0,27.0,0.496494
1004.0,28.0,0.489377
1004.0,29.0,0.49639
1004.0,30.0,0.487466
1004.0,31.0,0.504923
1004.0,32.0,0.510706
1004.0,33.0,0.506355
1004.0,34.0,0.488075
1004.0,35.0,0.483129
1004.0,36.0,0.529186
1004.0,37.0,0.517743
1004.0,38.0,0.481178
1004.0,39.0,0.515222
1004.0,40.0,0.49152
1004.0,41.0,0.489586
1004.0,42.0,0.521316
1004.0,43.0,0.497948
1004.0,44.0,0.488213
1004.0,45.0,0.502117
1004.0,46.0,0.475469
1004.0,47.0,0.506889
1004.0,48.0,0.507788
1004.0,49.0,0.492321
1004.0,50.0,0.536653
1004.0,51.0,0.494621
1004.0,52.0,0.469404
1004.0,53.0,0.498679
1004.0,54.0,0.496683
1004.0,55.0,0.489885
1004.0,56.0,0.476425
1004.0,57.0,0.502316
1004.0,58.0,0.490002
1004.0,59.0,0.484474
1004.0,60.0,0.494508
1004.0,61.0,0.504498
1004.0,62.0,0.488677
1004.0,63.0,0.499426
1004.0,64.0,0.528961
1004.0,65.0,0.493998
1004.0,66.0,0.514241
1004.0,67.0,0.507529
1004.0,68.0,0.476562
1004.0,69.0,0.481455
1004.0,70.0,0.513681
1004.0,71.0,0.489278
1004.0,72.0,0.515109
1004.0,73.0,0.474813
1004.0,74.0,0.527886
1004.0,75.0,0.487428
1004.0,76.0,0.484089
1004.0,77.0,0.512861
1004.0,78.0,0.516319
1004.0,79.0,0.513482
1004.0,80.0,0.482115
1004.0,81.0,0.510989
1004.0,82.0,0.513914
1004.0,83.0,0.518622
1004.0,84.0,0.49151
1004.0,85.0,0.492869
1004.0,86.0,0.511394
1004.0,87.0,0.523108
1004.0,88.0,0.4989
1004.0,89.0,0.534891
1004.0,90.0,0.50796
1004.0,91.0,0.500258
1004.0,92.0,0.502074
1004.0,93.0,0.509368
1004.0,94.0,0.49205
1004.0,95.0,0.519519
1004.0,96.0,0.519333
1004.0,97.0,0.506027
1004.0,98.0,0.508007
1004.0,99.0,0.505269
1004.0,100.0,0.482559
1004.0,101.0,0.512084
1004.0,102.0,0.502784
1004.0,103.0,0.497003
1004.0,104.0,0.510925
1004.0,105.0,0.510333
1004.0,106.0,0.488693
1004.0,107.0,0.489168
1004.0,108.0,0.535361
1004.0,109.0,0.538895
1004.0,110.0,0.510722
1004.0,111.0,0.50274
1004.0,112.0,0.493911
1004.0,113.0,0.474566
1004.0,114.0,0.507813
1004.0,115.0,0.495753
1004.0,116.0,0.494781
1004.0,117.0,0.507266
1004.0,118.0,0.487809
1004.0,119.0,0.512355
1004.0,120.0,0.519666
1004.0,121.0,0.483932
1004.0,122.0,0.485095
1004.0,123.0,0.520546
1004.0,124.0,0.469967
1004.0,125.0,0.496528
1004.0,126.0,0.506746
1005.0,0.0,0.515577
1005.0,1.0,0.493815
1005.0,2.0,0.476214
1005.0,3.0,0.521633
1005.0,4.0,0.50737
1005.0,5.0,0.475695
1005.0,6.0,0.505756
1005.0,7.0,0.527655
1005.0,8.0,0.498323
1005.0,9.0,0.488197
1005.0,10.0,0.499778
1005.0,11.0,0.525061
1005.0,12.0,0.485845
1005.0,13.0,0.468788
1005.0,14.0,0.480457
1005.0,15.0,0.490485
1005.0,16.0,0.501723
1005.0,17.0,0.509712
1005.0,18.0,0.474996
1005.0,19.0,0.50413
1005.0,20.0,0.504933
1005.0,21.0,0.512743
1005.0,22.0,0.484459
1005.0,23.0,0.488431
1005.0,24.0,0.502582
1005.0,25.0,0.5163
1005.0,26.0,0.499425
1005.0,27.0,0.496329
1005.0,28.0,0.488787
1005.0,29.0,0.496164
1005.0,30.0,0.487494
1005.0,31.0,0.505178
1005.0,32.0,0.511552
1005.0,33.0,0.506817
1005.0,34.0,0.487492
1005.0,35.0,0.482535
1005.0,36.0,0.5289
1005.0,37.0,0.517367
1005.0,38.0,0.481018
1005.0,39.0,0.51511
1005.0,40.0,0.49151
1005.0,41.0,0.489687
1005.0,42.0,0.520677
1005.0,43.0,0.497115
1005.0,44.0,0.488649
1005.0,45.0,0.501915
1005.0,46.0,0.475691
1005.0,47.0,0.50686
1005.0,48.0,0.507889
1005.0,49.0,0.492277
1005.0,50.0,0.53678
1005.0,51.0,0.493051
1005.0,52.0,0.468573
1005.0,53.0,0.499454
1005.0,54.0,0.496358
1005.0,55.0,0.490657
1005.0,56.0,0.476503
1005.0,57.0,0.50299
1005.0,58.0,0.489969
1005.0,59.0,0.484706
1005.0,60.0,0.494349
