Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	7.02463e-06	2.81933e-05	177345.0	7.40815e-06	3.00542e-05	166363.0
1010	3.37159e-06	1.34954e-05	370493.0	3.74597e-06	1.49306e-05	334881.0
2010	3.39949e-06	1.35826e-05	368115.0	3.49166e-06	1.39603e-05	358157.0
3010	3.58769e-06	1.43937e-05	347371.0	2.7987e-06	1.12006e-05	446404.0
4010	3.71116e-06	1.48455e-05	336800.0	3.32983e-06	1.33603e-05	374241.0
5010	3.171e-06	1.26767e-05	394423.0	3.26873e-06	1.31846e-05	379227.0
6010	3.46203e-06	1.38473e-05	361078.0	3.61232e-06	1.44397e-05	346265.0
7010	3.61637e-06	1.44452e-05	346134.0	3.13405e-06	1.25133e-05	399573.0
8010	3.26083e-06	1.30328e-05	383645.0	3.65462e-06	1.46885e-05	340401.0
9010	3.54135e-06	1.41533e-05	353272.0	3.29294e-06	1.34017e-05	373086.0
10010	3.35793e-06	1.34426e-05	371949.0	3.89747e-06	1.55494e-05	321553.0
