Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.64453e-06	1.0571e-05	472990.0	2.67895e-06	1.07374e-05	465662.0
1010	2.5129e-06	1.01346e-05	493355.0	2.84566e-06	1.13436e-05	440773.0
2010	2.51978e-06	1.00976e-05	495165.0	2.8698e-06	1.14462e-05	436822.0
3010	2.58613e-06	1.03301e-05	484019.0	2.70767e-06	1.08813e-05	459502.0
4010	2.49736e-06	9.98003e-06	500998.0	2.29464e-06	9.17625e-06	544883.0
5010	2.50886e-06	1.00216e-05	498919.0	2.75311e-06	1.12815e-05	443203.0
6010	2.86167e-06	1.14372e-05	437166.0	2.59941e-06	1.05854e-05	472346.0
7010	2.67933e-06	1.07019e-05	467205.0	2.5309e-06	1.00981e-05	495141.0
8010	2.711e-06	1.08298e-05	461688.0	2.9153e-06	1.17013e-05	427299.0
9010	2.49852e-06	1.00155e-05	499226.0	2.75203e-06	1.09703e-05	455772.0
10010	2.62327e-06	1.0478e-05	477189.0	2.42326e-06	9.7251e-06	514131.0
