Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.38992e-06	9.56476e-06	522750.0	2.28898e-06	9.17507e-06	544952.0
1010	2.64195e-06	1.05637e-05	473314.0	2.65969e-06	1.0604e-05	471517.0
2010	2.28541e-06	9.12954e-06	547670.0	2.56568e-06	1.02654e-05	487071.0
3010	2.55223e-06	1.02312e-05	488699.0	2.66275e-06	1.0632e-05	470276.0
4010	2.42278e-06	9.67771e-06	516649.0	2.24942e-06	8.97119e-06	557337.0
5010	2.31557e-06	9.24883e-06	540606.0	2.56567e-06	1.02649e-05	487094.0
6010	2.27667e-06	9.09346e-06	549843.0	2.65341e-06	1.0577e-05	472721.0
7010	2.59133e-06	1.03506e-05	483062.0	2.81225e-06	1.12589e-05	444092.0
8010	2.38677e-06	9.5341e-06	524431.0	2.20536e-06	8.83355e-06	566021.0
9010	2.43497e-06	9.72766e-06	513996.0	2.55091e-06	1.02539e-05	487618.0
10010	2.87318e-06	1.14799e-05	435541.0	2.47232e-06	9.85804e-06	507197.0
