FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
1.0,18.0,0.5
1.0,19.0,0.5
1.0,20.0,0.5
1.0,21.0,0.5
1.0,22.0,0.5
1.0,23.0,0.5
1.0,24.0,0.5
1.0,25.0,0.5
1.0,26.0,0.5
1.0,27.0,0.5
1.0,28.0,0.5
1.0,29.0,0.5
1.0,30.0,0.5
1.0,31.0,0.5
1.0,32.0,0.5
1.0,33.0,0.5
1.0,34.0,0.5
1.0,35.0,0.5
1.0,36.0,0.5
1.0,37.0,0.5
1.0,38.0,0.5
1.0,39.0,0.5
1.0,40.0,0.5
1.0,41.0,0.5
1.0,42.0,0.5
1.0,43.0,0.5
1.0,44.0,0.5
1.0,45.0,0.5
1.0,46.0,0.5
1.0,47.0,0.5
1.0,48.0,0.5
1.0,49.0,0.5
1.0,50.0,0.5
1.0,51.0,0.5
1.0,52.0,0.5
1.0,53.0,0.5
1.0,54.0,0.5
1.0,55.0,0.5
1.0,56.0,0.5
1.0,57.0,0.5
1.0,58.0,0.5
1.0,59.0,0.5
1.0,60.0,0.5
1.0,61.0,0.5
1.0,62.0,0.5
1.0,63.0,0.5
1.0,64.0,0.5
1.0,65.0,0.5
1.0,66.0,0.5
1.0,67.0,0.5
1.0,68.0,0.5
1.0,69.0,0.5
1.0,70.0,0.5
1.0,71.0,0.5
1.0,72.0,0.5
1.0,73.0,0.5
1.0,74.0,0.5
1.0,75.0,0.5
1.0,76.0,0.5
1.0,77.0,0.5
1.0,78.0,0.5
1.0,79.0,0.5
1.0,80.0,0.5
1.0,81.0,0.5
1.0,82.0,0.5
1.0,83.0,0.5
1.0,84.0,0.5
1.0,85.0,0.5
1.0,86.0,0.5
1.0,87.0,0.5
1.0,88.0,0.5
1.0,89.0,0.5
1.0,90.0,0.5
1.0,91.0,0.5
1.0,92.0,0.5
1.0,93.0,0.5
1.0,94.0,0.5
1.0,95.0,0.5
1.0,96.0,0.5
1.0,97.0,0.5
1.0,98.0,0.5
1.0,99.0,0.5
1.0,100.0,0.5
1.0,101.0,0.5
1.0,102.0,0.5
1.0,103.0,0.5
1.0,104.0,0.5
1.0,105.0,0.5
1.0,106.0,0.5
1.0,107.0,0.5
1.0,108.0,0.5
1.0,109.0,0.5
1.0,110.0,0.5
1.0,111.0,0.5
1.0,112.0,0.5
1.0,113.0,0.5
1.0,114.0,0.5
1.0,115.0,0.5
1.0,116.0,0.5
1.0,117.0,0.5
1.0,118.0,0.5
1.0,119.0,0.5
1.0,120.0,0.5
1.0,121.0,0.5
1.0,122.0,0.5
1.0,123.0,0.5
1.0,124.0,0.5
1.0,125.0,0.5
1.0,126.0,0.5
1000.0,0.0,0.08242
1000.0,1.0,0.56082
1000.0,2.0,0.60001
1000.0,3.0,0.48713
1000.0,4.0,0.4727
1000.0,5.0,0.23283
1000.0,6.0,0.77371
1000.0,7.0,0.27943
1000.0,8.0,1.0
1000.0,9.0,0.38226
1000.0,10.0,0.45186
1000.0,11.0,0.44427
1000.0,12.0,0.3391
1000.0,13.0,1.0
1000.0,14.0,0.3748
1000.0,15.0,1.0
1000.0,16.0,0.0
1000.0,17.0,0.78408
1000.0,18.0,0.93856
1000.0,19.0,0.55358
1000.0,20.0,0.56932
1000.0,21.0,0.61988
1000.0,22.0,0.63704
1000.0,23.0,0.0
1000.0,24.0,0.15353
1000.0,25.0,0.0
1000.0,26.0,0.43044
1000.0,27.0,0.25361
1000.0,28.0,0.21605
1000.0,29.0,1.0
1000.0,30.0,0.5418
1000.0,31.0,0.11915
1000.0,32.0,0.53481
1000.0,33.0,1.0
1000.0,34.0,0.31098
1000.0,35.0,0.56894
1000.0,36.0,0.9395
1000.0,37.0,0.56475
1000.0,38.0,0.50717
1000.0,39.0,0.56493
1000.0,40.0,0.75764
1000.0,41.0,0.88617
1000.0,42.0,0.04873
1000.0,43.0,1.0
1000.0,44.0,0.55775
1000.0,45.0,0.28668
1000.0,46.0,0.24609
1000.0,47.0,0.57792
1000.0,48.0,0.20613
1000.0,49.0,0.47557
1000.0,50.0,0.64657
1000.0,51.0,0.35954
1000.0,52.0,0.36319
1000.0,53.0,0.287
1000.0,54.0,0.49337
1000.0,55.0,0.17014
1000.0,56.0,0.51568
1000.0,57.0,0.3126
1000.0,58.0,0.77773
1000.0,59.0,0.64457
1000.0,60.0,0.43313
1000.0,61.0,0.54451
1000.0,62.0,0.64199
1000.0,63.0,0.44197
1000.0,64.0,0.50747
1000.0,65.0,1.0
1000.0,66.0,0.25285
1000.0,67.0,0.678
1000.0,68.0,0.50641
1000.0,69.0,0.34849
1000.0,70.0,0.4881
1000.0,71.0,0.0
1000.0,72.0,0.0
1000.0,73.0,0.91977
1000.0,74.0,1.0
1000.0,75.0,0.68188
1000.0,76.0,0.9122
1000.0,77.0,0.3888
1000.0,78.0,0.48675
1000.0,79.0,0.87702
1000.0,80.0,0.3882
1000.0,81.0,0.1945
1000.0,82.0,0.75936
1000.0,83.0,0.0
1000.0,84.0,0.58745
1000.0,85.0,0.31302
1000.0,86.0,0.52543
1000.0,87.0,0.19694
1000.0,88.0,0.23999
1000.0,89.0,0.32719
1000.0,90.0,0.72838
1000.0,91.0,0.0
1000.0,92.0,0.66011
1000.0,93.0,0.98262
1000.0,94.0,0.18745
1000.0,95.0,0.49674
1000.0,96.0,0.46558
1000.0,97.0,0.27488
1000.0,98.0,0.39051
1000.0,99.0,0.87126
1000.0,100.0,0.35158
1000.0,101.0,0.99213
1000.0,102.0,0.09068
1000.0,103.0,0.48101
1000.0,104.0,0.62668
1000.0,105.0,0.0
1000.0,106.0,0.0
1000.0,107.0,0.47434
1000.0,108.0,0.50894
1000.0,109.0,0.26576
1000.0,110.0,0.63597
1000.0,111.0,1.0
1000.0,112.0,0.47674
1000.0,113.0,0.99364
1000.0,114.0,0.2549
1000.0,115.0,0.86284
1000.0,116.0,0.01602
1000.0,117.0,0.38532
1000.0,118.0,1.0
1000.0,119.0,0.24789
1000.0,120.0,0.62172
1000.0,121.0,0.01591
1000.0,122.0,0.19165
1000.0,123.0,0.58576
1000.0,124.0,0.25465
1000.0,125.0,0.03987
1000.0,126.0,0.81793
1001.0,0.0,0.08267
1001.0,1.0,0.57361
1001.0,2.0,0.60859
1001.0,3.0,0.50873
1001.0,4.0,0.48403
1001.0,5.0,0.23957
1001.0,6.0,0.77902
1001.0,7.0,0.35247
1001.0,8.0,1.0
1001.0,9.0,0.38589
1001.0,10.0,0.48198
1001.0,11.0,0.45268
1001.0,12.0,0.34323
1001.0,13.0,1.0
1001.0,14.0,0.39526
1001.0,15.0,1.0
1001.0,16.0,0.0
1001.0,17.0,0.81784
1001.0,18.0,0.94028
1001.0,19.0,0.56018
1001.0,20.0,0.57809
1001.0,21.0,0.62466
1001.0,22.0,0.65471
1001.0,23.0,0.0
1001.0,24.0,0.16922
1001.0,25.0,0.0
1001.0,26.0,0.45914
1001.0,27.0,0.26401
1001.0,28.0,0.22338
1001.0,29.0,1.0
1001.0,30.0,0.57195
1001.0,31.0,0.13801
1001.0,32.0,0.6158
1001.0,33.0,1.0
1001.0,34.0,0.32293
1001.0,35.0,0.57833
1001.0,36.0,0.94204
1001.0,37.0,0.57922
1001.0,38.0,0.50628
1001.0,39.0,0.56464
1001.0,40.0,0.77057
1001.0,41.0,0.8866
1001.0,42.0,0.04972
1001.0,43.0,1.0
1001.0,44.0,0.56567
1001.0,45.0,0.3697
1001.0,46.0,0.276
1001.0,47.0,0.59199
1001.0,48.0,0.2366
1001.0,49.0,0.47903
1001.0,50.0,0.65842
1001.0,51.0,0.39643
1001.0,52.0,0.39323
1001.0,53.0,0.32037
1001.0,54.0,0.48693
1001.0,55.0,0.19092
1001.0,56.0,0.54472
1001.0,57.0,0.32897
1001.0,58.0,0.77968
1001.0,59.0,0.66477
1001.0,60.0,0.43645
1001.0,61.0,0.54976
1001.0,62.0,0.65114
1001.0,63.0,0.45029
1001.0,64.0,0.53037
1001.0,65.0,1.0
1001.0,66.0,0.25515
1001.0,67.0,0.68322
1001.0,68.0,0.51485
1001.0,69.0,0.34953
1001.0,70.0,0.50922
1001.0,71.0,0.0
1001.0,72.0,0.0
1001.0,73.0,0.92289
1001.0,74.0,1.0
1001.0,75.0,0.68772
1001.0,76.0,0.91223
1001.0,77.0,0.40082
1001.0,78.0,0.49578
1001.0,79.0,0.8789
1001.0,80.0,0.39295
1001.0,81.0,0.21426
1001.0,82.0,0.76793
1001.0,83.0,0.0
1001.0,84.0,0.59145
1001.0,85.0,0.32763
1001.0,86.0,0.54059
1001.0,87.0,0.22448
1001.0,88.0,0.26276
1001.0,89.0,0.34267
1001.0,90.0,0.73258
1001.0,91.0,0.0
1001.0,92.0,0.6849
1001.0,93.0,0.98372
1001.0,94.0,0.20752
1001.0,95.0,0.49687
1001.0,96.0,0.47059
1001.0,97.0,0.27837
1001.0,98.0,0.4298
1001.0,99.0,0.8773
1001.0,100.0,0.36242
1001.0,101.0,0.99253
1001.0,102.0,0.09648
1001.0,103.0,0.49413
1001.0,104.0,0.63051
1001.0,105.0,0.0
1001.0,106.0,0.0
1001.0,107.0,0.48218
1001.0,108.0,0.51552
1001.0,109.0,0.27926
1001.0,110.0,0.64218
1001.0,111.0,1.0
1001.0,112.0,0.49074
1001.0,113.0,0.99472
1001.0,114.0,0.25683
1001.0,115.0,0.86715
1001.0,116.0,0.01736
1001.0,117.0,0.40258
1001.0,118.0,1.0
1001.0,119.0,0.25666
1001.0,120.0,0.64087
1001.0,121.0,0.01661
1001.0,122.0,0.19356
1001.0,123.0,0.60265
1001.0,124.0,0.26695
1001.0,125.0,0.04169
1001.0,126.0,0.8534
1002.0,0.0,0.08235
1002.0,1.0,0.58728
1002.0,2.0,0.6176
1002.0,3.0,0.52874
1002.0,4.0,0.49113
1002.0,5.0,0.24662
1002.0,6.0,0.78535
1002.0,7.0,0.42063
1002.0,8.0,1.0
1002.0,9.0,0.38415
1002.0,10.0,0.51165
1002.0,11.0,0.45908
1002.0,12.0,0.34641
1002.0,13.0,1.0
1002.0,14.0,0.41957
1002.0,15.0,1.0
1002.0,16.0,0.0
1002.0,17.0,0.84474
1002.0,18.0,0.94147
1002.0,19.0,0.57151
1002.0,20.0,0.58349
1002.0,21.0,0.63423
1002.0,22.0,0.67201
1002.0,23.0,0.0
1002.0,24.0,0.18315
1002.0,25.0,0.0
1002.0,26.0,0.48993
1002.0,27.0,0.27389
1002.0,28.0,0.22963
1002.0,29.0,1.0
1002.0,30.0,0.59628
1002.0,31.0,0.16126
1002.0,32.0,0.68886
1002.0,33.0,1.0
1002.0,34.0,0.33379
1002.0,35.0,0.58358
1002.0,36.0,0.94365
1002.0,37.0,0.58947
1002.0,38.0,0.50262
1002.0,39.0,0.56745
1002.0,40.0,0.78252
1002.0,41.0,0.88779
1002.0,42.0,0.04983
1002.0,43.0,1.0
1002.0,44.0,0.57423
1002.0,45.0,0.44726
1002.0,46.0,0.30857
1002.0,47.0,0.60805
1002.0,48.0,0.26468
1002.0,49.0,0.48147
1002.0,50.0,0.67125
1002.0,51.0,0.42915
1002.0,52.0,0.42284
1002.0,53.0,0.35713
1002.0,54.0,0.48281
1002.0,55.0,0.21399
1002.0,56.0,0.57177
1002.0,57.0,0.34393
1002.0,58.0,0.7822
1002.0,59.0,0.68338
1002.0,60.0,0.44064
1002.0,61.0,0.55757
1002.0,62.0,0.65791
1002.0,63.0,0.46062
1002.0,64.0,0.54793
1002.0,65.0,1.0
1002.0,66.0,0.25726
1002.0,67.0,0.68966
1002.0,68.0,0.52071
1002.0,69.0,0.35395
1002.0,70.0,0.53056
1002.0,71.0,0.0
1002.0,72.0,0.0
1002.0,73.0,0.92817
1002.0,74.0,1.0
1002.0,75.0,0.69553
1002.0,76.0,0.91457
1002.0,77.0,0.40916
1002.0,78.0,0.50048
1002.0,79.0,0.88173
1002.0,80.0,0.39546
1002.0,81.0,0.23413
1002.0,82.0,0.77575
1002.0,83.0,0.0
1002.0,84.0,0.59798
1002.0,85.0,0.3427
1002.0,86.0,0.55376
1002.0,87.0,0.25141
1002.0,88.0,0.28311
1002.0,89.0,0.35554
1002.0,90.0,0.7354
1002.0,91.0,0.0
1002.0,92.0,0.70871
1002.0,93.0,0.98408
1002.0,94.0,0.22683
1002.0,95.0,0.49673
1002.0,96.0,0.47222
1002.0,97.0,0.27878
1002.0,98.0,0.46768
1002.0,99.0,0.8836
1002.0,100.0,0.37057
1002.0,101.0,0.99283
1002.0,102.0,0.10115
1002.0,103.0,0.5065
1002.0,104.0,0.63414
1002.0,105.0,0.0
1002.0,106.0,0.0
1002.0,107.0,0.49127
1002.0,108.0,0.52192
1002.0,109.0,0.28789
1002.0,110.0,0.64738
1002.0,111.0,1.0
1002.0,112.0,0.49934
1002.0,113.0,0.99574
1002.0,114.0,0.25972
1002.0,115.0,0.87168
1002.0,116.0,0.01783
1002.0,117.0,0.42422
1002.0,118.0,1.0
1002.0,119.0,0.26744
1002.0,120.0,0.65753
1002.0,121.0,0.01753
1002.0,122.0,0.19867
1002.0,123.0,0.62076
1002.0,124.0,0.27794
1002.0,125.0,0.04232
1002.0,126.0,0.88234
1003.0,0.0,0.08231
1003.0,1.0,0.60237
1003.0,2.0,0.62662
1003.0,3.0,0.54628
1003.0,4.0,0.49903
1003.0,5.0,0.25064
1003.0,6.0,0.79045
1003.0,7.0,0.48115
1003.0,8.0,1.0
1003.0,9.0,0.38476
1003.0,10.0,0.54203
1003.0,11.0,0.46683
1003.0,12.0,0.35367
1003.0,13.0,1.0
1003.0,14.0,0.44263
1003.0,15.0,1.0
1003.0,16.0,0.0
1003.0,17.0,0.86724
1003.0,18.0,0.94241
1003.0,19.0,0.58283
1003.0,20.0,0.58984
1003.0,21.0,0.64294
1003.0,22.0,0.68887
1003.0,23.0,0.0
1003.0,24.0,0.19807
1003.0,25.0,0.0
1003.0,26.0,0.51695
1003.0,27.0,0.28297
1003.0,28.0,0.23728
1003.0,29.0,1.0
1003.0,30.0,0.61955
1003.0,31.0,0.18635
1003.0,32.0,0.75561
1003.0,33.0,1.0
1003.0,34.0,0.34441
1003.0,35.0,0.59014
1003.0,36.0,0.94364
1003.0,37.0,0.59865
1003.0,38.0,0.5032
1003.0,39.0,0.56844
1003.0,40.0,0.78978
1003.0,41.0,0.88969
1003.0,42.0,0.05029
1003.0,43.0,1.0
1003.0,44.0,0.57945
1003.0,45.0,0.51675
1003.0,46.0,0.33527
1003.0,47.0,0.62329
1003.0,48.0,0.29298
1003.0,49.0,0.4858
1003.0,50.0,0.68224
1003.0,51.0,0.46239
1003.0,52.0,0.4543
1003.0,53.0,0.39122
1003.0,54.0,0.48272
1003.0,55.0,0.23497
1003.0,56.0,0.59933
1003.0,57.0,0.35755
1003.0,58.0,0.78824
1003.0,59.0,0.70065
1003.0,60.0,0.4446
1003.0,61.0,0.56471
1003.0,62.0,0.66786
1003.0,63.0,0.47145
1003.0,64.0,0.56431
1003.0,65.0,1.0
1003.0,66.0,0.2569
1003.0,67.0,0.69451
1003.0,68.0,0.52876
1003.0,69.0,0.35646
1003.0,70.0,0.54916
1003.0,71.0,0.0
1003.0,72.0,0.0
1003.0,73.0,0.92969
1003.0,74.0,1.0
1003.0,75.0,0.70111
1003.0,76.0,0.91545
1003.0,77.0,0.42131
1003.0,78.0,0.50844
1003.0,79.0,0.88516
1003.0,80.0,0.39629
1003.0,81.0,0.25392
1003.0,82.0,0.78224
1003.0,83.0,0.0
1003.0,84.0,0.60433
1003.0,85.0,0.35907
1003.0,86.0,0.56433
1003.0,87.0,0.278
1003.0,88.0,0.30642
1003.0,89.0,0.36811
1003.0,90.0,0.74086
1003.0,91.0,0.0
1003.0,92.0,0.73281
1003.0,93.0,0.98444
1003.0,94.0,0.24835
1003.0,95.0,0.49324
1003.0,96.0,0.47286
1003.0,97.0,0.27868
1003.0,98.0,0.50323
1003.0,99.0,0.88908
1003.0,100.0,0.38079
1003.0,101.0,0.99352
1003.0,102.0,0.10768
1003.0,103.0,0.52094
1003.0,104.0,0.63592
1003.0,105.0,0.0
1003.0,106.0,0.0
1003.0,107.0,0.50076
1003.0,108.0,0.52982
1003.0,109.0,0.29389
1003.0,110.0,0.65396
1003.0,111.0,1.0
1003.0,112.0,0.50866
1003.0,113.0,0.99652
1003.0,114.0,0.26023
1003.0,115.0,0.87312
1003.0,116.0,0.01975
1003.0,117.0,0.4433
1003.0,118.0,1.0
1003.0,119.0,0.27661
1003.0,120.0,0.67114
1003.0,121.0,0.01899
1003.0,122.0,0.20275
1003.0,123.0,0.63805
1003.0,124.0,0.28937
1003.0,125.0,0.04319
1003.0,126.0,0.90586
1004.0,0.0,0.08091
1004.0,1.0,0.61334
1004.0,2.0,0.63647
1004.0,3.0,0.56162
1004.0,4.0,0.50516
1004.0,5.0,0.25337
1004.0,6.0,0.79606
1004.0,7.0,0.53569
1004.0,8.0,1.0
1004.0,9.0,0.38578
1004.0,10.0,0.57023
1004.0,11.0,0.47207
1004.0,12.0,0.35701
1004.0,13.0,1.0
1004.0,14.0,0.4661
1004.0,15.0,1.0
1004.0,16.0,0.0
1004.0,17.0,0.88797
1004.0,18.0,0.94391
1004.0,19.0,0.58684
1004.0,20.0,0.59618
1004.0,21.0,0.65127
1004.0,22.0,0.70763
1004.0,23.0,0.0
1004.0,24.0,0.21466
1004.0,25.0,0.0
1004.0,26.0,0.54739
1004.0,27.0,0.29227
1004.0,28.0,0.24337
1004.0,29.0,1.0
1004.0,30.0,0.63971
1004.0,31.0,0.21249
1004.0,32.0,0.81474
1004.0,33.0,1.0
1004.0,34.0,0.35499
1004.0,35.0,0.59812
1004.0,36.0,0.94494
1004.0,37.0,0.61056
1004.0,38.0,0.50377
1004.0,39.0,0.57086
1004.0,40.0,0.79631
1004.0,41.0,0.8907
1004.0,42.0,0.05054
1004.0,43.0,1.0
1004.0,44.0,0.58457
1004.0,45.0,0.57504
1004.0,46.0,0.364
1004.0,47.0,0.6354
1004.0,48.0,0.32106
1004.0,49.0,0.49271
1004.0,50.0,0.6914
1004.0,51.0,0.49392
1004.0,52.0,0.48309
1004.0,53.0,0.42813
1004.0,54.0,0.48101
1004.0,55.0,0.25662
1004.0,56.0,0.62883
1004.0,57.0,0.37013
1004.0,58.0,0.79045
1004.0,59.0,0.71547
1004.0,60.0,0.44845
1004.0,61.0,0.5728
1004.0,62.0,0.67526
1004.0,63.0,0.48482
1004.0,64.0,0.58229
1004.0,65.0,1.0
1004.0,66.0,0.25863
1004.0,67.0,0.6995
1004.0,68.0,0.53442
1004.0,69.0,0.3565
1004.0,70.0,0.5694
1004.0,71.0,0.0
1004.0,72.0,0.0
1004.0,73.0,0.93281
1004.0,74.0,1.0
1004.0,75.0,0.70284
1004.0,76.0,0.91764
1004.0,77.0,0.43119
1004.0,78.0,0.51231
1004.0,79.0,0.8869
1004.0,80.0,0.40139
1004.0,81.0,0.27232
1004.0,82.0,0.78977
1004.0,83.0,0.0
1004.0,84.0,0.60842
1004.0,85.0,0.37593
1004.0,86.0,0.5754
1004.0,87.0,0.30355
1004.0,88.0,0.32938
1004.0,89.0,0.38413
1004.0,90.0,0.74279
1004.0,91.0,0.0
1004.0,92.0,0.75454
1004.0,93.0,0.98418
1004.0,94.0,0.26992
1004.0,95.0,0.49167
1004.0,96.0,0.47449
1004.0,97.0,0.28124
1004.0,98.0,0.53544
1004.0,99.0,0.89433
1004.0,100.0,0.38775
1004.0,101.0,0.99383
1004.0,102.0,0.11369
1004.0,103.0,0.5337
1004.0,104.0,0.63788
1004.0,105.0,0.0
1004.0,106.0,0.0
1004.0,107.0,0.51086
1004.0,108.0,0.53667
1004.0,109.0,0.303
1004.0,110.0,0.65923
1004.0,111.0,1.0
1004.0,112.0,0.51812
1004.0,113.0,0.99709
1004.0,114.0,0.2635
1004.0,115.0,0.8769
1004.0,116.0,0.02021
1004.0,117.0,0.4625
1004.0,118.0,1.0
1004.0,119.0,0.28548
1004.0,120.0,0.68395
1004.0,121.0,0.01987
1004.0,122.0,0.20461
1004.0,123.0,0.65622
1004.0,124.0,0.29922
1004.0,125.0,0.04359
1004.0,126.0,0.92508
1005.0,0.0,0.08072
1005.0,1.0,0.62473
1005.0,2.0,0.64303
1005.0,3.0,0.5761
1005.0,4.0,0.51124
1005.0,5.0,0.25548
1005.0,6.0,0.80068
1005.0,7.0,0.58317
1005.0,8.0,1.0
1005.0,9.0,0.38559
1005.0,10.0,0.5989
1005.0,11.0,0.47832
1005.0,12.0,0.36103
1005.0,13.0,1.0
1005.0,14.0,0.48807
1005.0,15.0,1.0
1005.0,16.0,0.0
1005.0,17.0,0.90303
1005.0,18.0,0.94546
1005.0,19.0,0.59481
1005.0,20.0,0.60197
1005.0,21.0,0.65754
1005.0,22.0,0.72158
1005.0,23.0,0.0
1005.0,24.0,0.23004
1005.0,25.0,0.0
1005.0,26.0,0.57847
1005.0,27.0,0.30293
1005.0,28.0,0.25085
1005.0,29.0,1.0
1005.0,30.0,0.66243
1005.0,31.0,0.24027
1005.0,32.0,0.8616
1005.0,33.0,1.0
1005.0,34.0,0.36552
1005.0,35.0,0.60497
1005.0,36.0,0.94679
1005.0,37.0,0.62088
1005.0,38.0,0.50618
1005.0,39.0,0.57131
1005.0,40.0,0.80399
1005.0,41.0,0.89089
1005.0,42.0,0.05107
1005.0,43.0,1.0
1005.0,44.0,0.58848
1005.0,45.0,0.62621
1005.0,46.0,0.3924
1005.0,47.0,0.64817
1005.0,48.0,0.35379
1005.0,49.0,0.49809
1005.0,50.0,0.70149
1005.0,51.0,0.52344
1005.0,52.0,0.51443
1005.0,53.0,0.46159
1005.0,54.0,0.48289
1005.0,55.0,0.27948
1005.0,56.0,0.65389
1005.0,57.0,0.38211
1005.0,58.0,0.79173
1005.0,59.0,0.72898
1005.0,60.0,0.45712
1005.0,61.0,0.58178
1005.0,62.0,0.68242
1005.0,63.0,0.49435
1005.0,64.0,0.60012
1005.0,65.0,1.0
1005.0,66.0,0.25833
1005.0,67.0,0.70923
1005.0,68.0,0.54007
