Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	0.0023751	0.00948802	524.476	0.000720805	0.00288738	1729.17
1010	0.000135204	0.000541002	9239.62	9.94037e-05	0.000396389	12611.4
2010	0.000135083	0.000541118	9237.63	9.95176e-05	0.000397409	12579.0
3010	0.000130899	0.000522841	9560.64	9.20213e-05	0.000367867	13589.4
4010	0.000113329	0.000452809	11039.7	9.7311e-05	0.000388073	12881.7
5010	0.000137173	0.00054856	9112.28	0.000114709	0.000457828	10918.6
6010	0.000131563	0.000526641	9491.64	0.000107239	0.000427487	11693.8
7010	0.000112454	0.000450737	11090.4	9.93234e-05	0.000396569	12605.7
8010	0.000112783	0.000450797	11089.0	9.89891e-05	0.000395085	12653.0
9010	0.000116796	0.000466873	10707.0	0.000106143	0.00042338	11807.2
10010	0.000103528	0.000413814	12080.2	0.000105079	0.000418816	11935.9
