Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	4.8486e-05	0.00019377	25801.3	2.77774e-05	0.000110817	45116.9
1010	1.02196e-05	4.09083e-05	122222.0	9.47185e-06	3.77743e-05	132363.0
2010	1.05194e-05	4.20193e-05	118990.0	7.87955e-06	3.18918e-05	156778.0
3010	1.0097e-05	4.03734e-05	123842.0	8.62043e-06	3.4376e-05	145448.0
4010	1.09262e-05	4.36462e-05	114555.0	8.63897e-06	3.4469e-05	145055.0
5010	1.1277e-05	4.5043e-05	111003.0	9.72611e-06	3.8831e-05	128761.0
6010	1.15817e-05	4.62921e-05	108007.0	8.51835e-06	3.39651e-05	147207.0
7010	8.95421e-06	3.57816e-05	139734.0	8.50244e-06	3.45012e-05	144920.0
8010	1.00635e-05	4.02671e-05	124168.0	9.16038e-06	3.65128e-05	136936.0
9010	1.02254e-05	4.08726e-05	122329.0	9.05965e-06	3.63776e-05	137445.0
10010	9.93819e-06	3.97849e-05	125673.0	9.96784e-06	3.97582e-05	125758.0
