Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	9.12801e-06	3.64627e-05	137124.0	5.3759e-06	2.16837e-05	230585.0
1010	4.16885e-06	1.66622e-05	300078.0	3.9936e-06	1.5946e-05	313555.0
2010	3.75381e-06	1.50297e-05	332672.0	3.57683e-06	1.42936e-05	349804.0
3010	3.93992e-06	1.57371e-05	317718.0	3.42996e-06	1.36713e-05	365726.0
4010	3.76196e-06	1.50792e-05	331579.0	3.47047e-06	1.38456e-05	361124.0
5010	4.02319e-06	1.60703e-05	311131.0	3.27837e-06	1.31029e-05	381591.0
6010	3.47232e-06	1.38735e-05	360398.0	3.82613e-06	1.52809e-05	327203.0
7010	3.60558e-06	1.44018e-05	347177.0	3.84683e-06	1.53385e-05	325974.0
8010	3.6363e-06	1.45243e-05	344248.0	3.93206e-06	1.57508e-05	317441.0
9010	3.69985e-06	1.47785e-05	338327.0	4.00802e-06	1.59792e-05	312904.0
10010	4.06684e-06	1.62915e-05	306906.0	3.68227e-06	1.46827e-05	340535.0
