Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.4018e-06	9.61746e-06	519885.0	2.33589e-06	9.41748e-06	530925.0
1010	2.57178e-06	1.02949e-05	485673.0	2.68681e-06	1.08118e-05	462454.0
2010	2.50955e-06	1.0082e-05	495931.0	2.65144e-06	1.05685e-05	473100.0
3010	2.41031e-06	9.66076e-06	517555.0	2.64077e-06	1.05311e-05	474780.0
4010	2.52704e-06	1.01018e-05	494959.0	2.53996e-06	1.01368e-05	493250.0
5010	2.32607e-06	9.32421e-06	536236.0	2.84697e-06	1.13914e-05	438926.0
6010	2.88655e-06	1.15537e-05	432761.0	2.607e-06	1.0402e-05	480673.0
7010	2.36911e-06	9.46582e-06	528214.0	2.71231e-06	1.09543e-05	456439.0
8010	2.49612e-06	1.00292e-05	498540.0	2.65306e-06	1.05791e-05	472627.0
9010	2.37237e-06	9.476e-06	527646.0	2.8638e-06	1.14147e-05	438029.0
10010	2.35031e-06	9.4666e-06	528170.0	2.30801e-06	9.21074e-06	542842.0
