Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	6.64506e-06	2.65663e-05	188206.0	6.23143e-06	2.48368e-05	201312.0
1010	3.70032e-06	1.47851e-05	338176.0	4.0567e-06	1.62537e-05	307620.0
2010	4.03622e-06	1.61424e-05	309742.0	3.93451e-06	1.56887e-05	318698.0
3010	3.94359e-06	1.57697e-05	317060.0	3.87413e-06	1.54434e-05	323761.0
4010	4.23814e-06	1.69408e-05	295143.0	3.69168e-06	1.47141e-05	339808.0
5010	3.58564e-06	1.4327e-05	348989.0	3.66166e-06	1.4784e-05	338201.0
6010	3.95301e-06	1.57923e-05	316608.0	3.81204e-06	1.5219e-05	328534.0
7010	4.14494e-06	1.65957e-05	301280.0	3.58618e-06	1.43547e-05	348316.0
8010	4.04951e-06	1.62154e-05	308346.0	3.35618e-06	1.33786e-05	373727.0
9010	3.98746e-06	1.59298e-05	313875.0	3.93516e-06	1.57092e-05	318282.0
10010	3.65841e-06	1.46268e-05	341835.0	3.95307e-06	1.57685e-05	317085.0
