Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	4.26035e-06	1.70278e-05	293635.0	3.97021e-06	1.58242e-05	315968.0
1010	3.22636e-06	1.28867e-05	387993.0	2.64047e-06	1.05262e-05	475003.0
2010	3.09866e-06	1.24182e-05	402631.0	3.23652e-06	1.29002e-05	387587.0
3010	2.81069e-06	1.12342e-05	445067.0	2.60668e-06	1.04821e-05	477001.0
4010	3.01836e-06	1.20655e-05	414402.0	2.9323e-06	1.19577e-05	418137.0
5010	3.04914e-06	1.2181e-05	410471.0	2.81616e-06	1.12956e-05	442646.0
6010	2.97413e-06	1.18904e-05	420506.0	3.00049e-06	1.19931e-05	416903.0
7010	3.01549e-06	1.2049e-05	414969.0	3.11698e-06	1.24788e-05	400678.0
8010	2.86786e-06	1.14548e-05	436494.0	2.96853e-06	1.18409e-05	422263.0
9010	3.11323e-06	1.24699e-05	400964.0	3.05971e-06	1.21951e-05	409997.0
10010	3.06624e-06	1.24025e-05	403143.0	3.22716e-06	1.28858e-05	388021.0
