Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.063e-06	8.24274e-06	606592.0	2.04451e-06	8.15458e-06	613150.0
1010	2.51152e-06	1.00369e-05	498160.0	2.52524e-06	1.00853e-05	495768.0
2010	2.48077e-06	9.9108e-06	504498.0	2.37257e-06	9.46319e-06	528361.0
3010	2.53474e-06	1.01346e-05	493355.0	2.32813e-06	9.27927e-06	538833.0
4010	2.65243e-06	1.05992e-05	471732.0	2.19125e-06	8.73498e-06	572408.0
5010	2.40759e-06	9.61709e-06	519906.0	2.05129e-06	8.44004e-06	592412.0
6010	2.2763e-06	9.09239e-06	549908.0	2.29208e-06	9.14617e-06	546675.0
7010	2.61707e-06	1.04577e-05	478116.0	2.27516e-06	9.18482e-06	544374.0
8010	2.45133e-06	9.80293e-06	510049.0	1.98396e-06	8.04832e-06	621245.0
9010	2.40644e-06	9.62818e-06	519306.0	2.39405e-06	9.56034e-06	522991.0
10010	2.63445e-06	1.05613e-05	473423.0	2.64386e-06	1.0555e-05	473707.0
