FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
1.0,18.0,0.5
1.0,19.0,0.5
1.0,20.0,0.5
1.0,21.0,0.5
1.0,22.0,0.5
1.0,23.0,0.5
1.0,24.0,0.5
1.0,25.0,0.5
1.0,26.0,0.5
1.0,27.0,0.5
1.0,28.0,0.5
1.0,29.0,0.5
1.0,30.0,0.5
1.0,31.0,0.5
1.0,32.0,0.5
1.0,33.0,0.5
1.0,34.0,0.5
1.0,35.0,0.5
1.0,36.0,0.5
1.0,37.0,0.5
1.0,38.0,0.5
1.0,39.0,0.5
1.0,40.0,0.5
1.0,41.0,0.5
1.0,42.0,0.5
1.0,43.0,0.5
1.0,44.0,0.5
1.0,45.0,0.5
1.0,46.0,0.5
1.0,47.0,0.5
1.0,48.0,0.5
1.0,49.0,0.5
1.0,50.0,0.5
1.0,51.0,0.5
1.0,52.0,0.5
1.0,53.0,0.5
1.0,54.0,0.5
1.0,55.0,0.5
1.0,56.0,0.5
1.0,57.0,0.5
1.0,58.0,0.5
1.0,59.0,0.5
1.0,60.0,0.5
1.0,61.0,0.5
1.0,62.0,0.5
1.0,63.0,0.5
1.0,64.0,0.5
1.0,65.0,0.5
1.0,66.0,0.5
1.0,67.0,0.5
1.0,68.0,0.5
1.0,69.0,0.5
1.0,70.0,0.5
1.0,71.0,0.5
1.0,72.0,0.5
1.0,73.0,0.5
1.0,74.0,0.5
1.0,75.0,0.5
1.0,76.0,0.5
1.0,77.0,0.5
1.0,78.0,0.5
1.0,79.0,0.5
1.0,80.0,0.5
1.0,81.0,0.5
1.0,82.0,0.5
1.0,83.0,0.5
1.0,84.0,0.5
1.0,85.0,0.5
1.0,86.0,0.5
1.0,87.0,0.5
1.0,88.0,0.5
1.0,89.0,0.5
1.0,90.0,0.5
1.0,91.0,0.5
1.0,92.0,0.5
1.0,93.0,0.5
1.0,94.0,0.5
1.0,95.0,0.5
1.0,96.0,0.5
1.0,97.0,0.5
1.0,98.0,0.5
1.0,99.0,0.5
1.0,100.0,0.5
1.0,101.0,0.5
1.0,102.0,0.5
1.0,103.0,0.5
1.0,104.0,0.5
1.0,105.0,0.5
1.0,106.0,0.5
1.0,107.0,0.5
1.0,108.0,0.5
1.0,109.0,0.5
1.0,110.0,0.5
1.0,111.0,0.5
1.0,112.0,0.5
1.0,113.0,0.5
1.0,114.0,0.5
1.0,115.0,0.5
1.0,116.0,0.5
1.0,117.0,0.5
1.0,118.0,0.5
1.0,119.0,0.5
1.0,120.0,0.5
1.0,121.0,0.5
1.0,122.0,0.5
1.0,123.0,0.5
1.0,124.0,0.5
1.0,125.0,0.5
1.0,126.0,0.5
2500.0,0.0,0.609312
2500.0,1.0,0.019323
2500.0,2.0,1.0
2500.0,3.0,0.138258
2500.0,4.0,0.501193
2500.0,5.0,0.924019
2500.0,6.0,0.088301
2500.0,7.0,0.484404
2500.0,8.0,0.303714
2500.0,9.0,0.349973
2500.0,10.0,0.510318
2500.0,11.0,0.154326
2500.0,12.0,0.706652
2500.0,13.0,1.0
2500.0,14.0,0.352901
2500.0,15.0,0.763984
2500.0,16.0,0.573491
2500.0,17.0,0.424616
2500.0,18.0,0.465783
2500.0,19.0,0.6865
2500.0,20.0,1.0
2500.0,21.0,0.177876
2500.0,22.0,0.011386
2500.0,23.0,0.051629
2500.0,24.0,0.715747
2500.0,25.0,0.296698
2500.0,26.0,0.056707
2500.0,27.0,1.0
2500.0,28.0,0.306609
2500.0,29.0,0.320361
2500.0,30.0,0.998579
2500.0,31.0,0.292759
2500.0,32.0,0.394898
2500.0,33.0,0.601965
2500.0,34.0,0.440301
2500.0,35.0,0.187157
2500.0,36.0,0.642385
2500.0,37.0,0.290963
2500.0,38.0,1.0
2500.0,39.0,0.393645
2500.0,40.0,0.624109
2500.0,41.0,0.0
2500.0,42.0,0.552062
2500.0,43.0,0.360255
2500.0,44.0,0.639045
2500.0,45.0,1.0
2500.0,46.0,0.21236
2500.0,47.0,0.38664
2500.0,48.0,0.592812
2500.0,49.0,1.0
2500.0,50.0,0.13442
2500.0,51.0,0.627294
2500.0,52.0,0.509454
2500.0,53.0,0.452744
2500.0,54.0,0.431865
2500.0,55.0,0.067271
2500.0,56.0,1.0
2500.0,57.0,0.402691
2500.0,58.0,0.515448
2500.0,59.0,1.0
2500.0,60.0,0.617752
2500.0,61.0,0.452298
2500.0,62.0,0.560418
2500.0,63.0,0.686213
2500.0,64.0,0.84781
2500.0,65.0,0.527014
2500.0,66.0,0.243377
2500.0,67.0,0.052541
2500.0,68.0,0.0
2500.0,69.0,0.0
2500.0,70.0,1.0
2500.0,71.0,0.42044
2500.0,72.0,0.334286
2500.0,73.0,0.518559
2500.0,74.0,0.332611
2500.0,75.0,1.0
2500.0,76.0,0.627359
2500.0,77.0,0.231554
2500.0,78.0,0.375754
2500.0,79.0,0.264095
2500.0,80.0,0.712241
2500.0,81.0,0.42603
2500.0,82.0,0.565935
2500.0,83.0,0.950598
2500.0,84.0,0.350354
2500.0,85.0,0.0
2500.0,86.0,0.6757
2500.0,87.0,0.864946
2500.0,88.0,0.0
2500.0,89.0,0.0
2500.0,90.0,0.614431
2500.0,91.0,0.526954
2500.0,92.0,0.650726
2500.0,93.0,0.312947
2500.0,94.0,0.226394
2500.0,95.0,0.406671
2500.0,96.0,0.654314
2500.0,97.0,0.215146
2500.0,98.0,0.049973
2500.0,99.0,0.0
2500.0,100.0,0.586865
2500.0,101.0,0.011674
2500.0,102.0,0.309022
2500.0,103.0,0.412355
2500.0,104.0,1.0
2500.0,105.0,0.802028
2500.0,106.0,1.0
2500.0,107.0,0.441878
2500.0,108.0,0.0
2500.0,109.0,0.0
2500.0,110.0,0.0
2500.0,111.0,0.284704
2500.0,112.0,0.474207
2500.0,113.0,0.188127
2500.0,114.0,0.511732
2500.0,115.0,0.0
2500.0,116.0,0.0
2500.0,117.0,0.933907
2500.0,118.0,0.029373
2500.0,119.0,0.774842
2500.0,120.0,0.686288
2500.0,121.0,0.441977
2500.0,122.0,0.843695
2500.0,123.0,1.0
2500.0,124.0,0.53652
2500.0,125.0,1.0
2500.0,126.0,0.415301
2501.0,0.0,0.611555
2501.0,1.0,0.020271
2501.0,2.0,1.0
2501.0,3.0,0.143204
2501.0,4.0,0.51056
2501.0,5.0,0.926677
2501.0,6.0,0.093722
2501.0,7.0,0.491573
2501.0,8.0,0.323627
2501.0,9.0,0.419158
2501.0,10.0,0.53593
2501.0,11.0,0.194997
2501.0,12.0,0.709134
2501.0,13.0,1.0
2501.0,14.0,0.401194
2501.0,15.0,0.774451
2501.0,16.0,0.575704
2501.0,17.0,0.43237
2501.0,18.0,0.468702
2501.0,19.0,0.694581
2501.0,20.0,1.0
2501.0,21.0,0.179177
2501.0,22.0,0.01324
2501.0,23.0,0.050939
2501.0,24.0,0.721884
2501.0,25.0,0.306149
2501.0,26.0,0.063361
2501.0,27.0,1.0
2501.0,28.0,0.313082
2501.0,29.0,0.332668
2501.0,30.0,0.998634
2501.0,31.0,0.428481
2501.0,32.0,0.39077
2501.0,33.0,0.625919
2501.0,34.0,0.452632
2501.0,35.0,0.194848
2501.0,36.0,0.647497
2501.0,37.0,0.305449
2501.0,38.0,1.0
2501.0,39.0,0.394646
2501.0,40.0,0.665895
2501.0,41.0,0.0
2501.0,42.0,0.559087
2501.0,43.0,0.369706
2501.0,44.0,0.646449
2501.0,45.0,1.0
2501.0,46.0,0.240065
2501.0,47.0,0.411268
2501.0,48.0,0.652275
2501.0,49.0,1.0
2501.0,50.0,0.140149
2501.0,51.0,0.619166
2501.0,52.0,0.518016
2501.0,53.0,0.482834
2501.0,54.0,0.455133
2501.0,55.0,0.071431
2501.0,56.0,1.0
2501.0,57.0,0.415337
2501.0,58.0,0.54264
2501.0,59.0,1.0
2501.0,60.0,0.642626
2501.0,61.0,0.46086
2501.0,62.0,0.5709
2501.0,63.0,0.68723
2501.0,64.0,0.857144
2501.0,65.0,0.531207
2501.0,66.0,0.370623
2501.0,67.0,0.054381
2501.0,68.0,0.0
2501.0,69.0,0.0
2501.0,70.0,1.0
2501.0,71.0,0.436985
2501.0,72.0,0.351131
2501.0,73.0,0.570605
2501.0,74.0,0.352615
2501.0,75.0,1.0
2501.0,76.0,0.657406
2501.0,77.0,0.433357
2501.0,78.0,0.383635
2501.0,79.0,0.276402
2501.0,80.0,0.724839
2501.0,81.0,0.474128
2501.0,82.0,0.569892
2501.0,83.0,0.951257
2501.0,84.0,0.354639
2501.0,85.0,0.0
2501.0,86.0,0.682985
2501.0,87.0,0.871072
2501.0,88.0,0.0
2501.0,89.0,0.0
2501.0,90.0,0.619108
2501.0,91.0,0.580043
2501.0,92.0,0.658088
2501.0,93.0,0.316641
2501.0,94.0,0.239844
2501.0,95.0,0.45246
2501.0,96.0,0.689764
2501.0,97.0,0.222684
2501.0,98.0,0.049911
2501.0,99.0,0.0
2501.0,100.0,0.595483
2501.0,101.0,0.012059
2501.0,102.0,0.312936
2501.0,103.0,0.43855
2501.0,104.0,1.0
2501.0,105.0,0.803648
2501.0,106.0,1.0
2501.0,107.0,0.492924
2501.0,108.0,0.0
2501.0,109.0,0.0
2501.0,110.0,0.0
2501.0,111.0,0.286584
2501.0,112.0,0.484874
2501.0,113.0,0.186942
2501.0,114.0,0.53272
2501.0,115.0,0.0
2501.0,116.0,0.0
2501.0,117.0,0.938023
2501.0,118.0,0.029089
2501.0,119.0,0.79081
2501.0,120.0,0.692972
2501.0,121.0,0.464898
2501.0,122.0,0.843485
2501.0,123.0,1.0
2501.0,124.0,0.547151
2501.0,125.0,1.0
2501.0,126.0,0.422356
2502.0,0.0,0.613257
2502.0,1.0,0.021091
2502.0,2.0,1.0
2502.0,3.0,0.146965
2502.0,4.0,0.517134
2502.0,5.0,0.929731
2502.0,6.0,0.096901
2502.0,7.0,0.500024
2502.0,8.0,0.342541
2502.0,9.0,0.490521
2502.0,10.0,0.559034
2502.0,11.0,0.237075
2502.0,12.0,0.711407
2502.0,13.0,1.0
2502.0,14.0,0.448922
2502.0,15.0,0.784879
2502.0,16.0,0.576782
2502.0,17.0,0.439589
2502.0,18.0,0.472198
2502.0,19.0,0.701178
2502.0,20.0,1.0
2502.0,21.0,0.179443
2502.0,22.0,0.015096
2502.0,23.0,0.050288
2502.0,24.0,0.725981
2502.0,25.0,0.317576
2502.0,26.0,0.069999
2502.0,27.0,1.0
2502.0,28.0,0.317839
2502.0,29.0,0.343102
2502.0,30.0,0.998636
2502.0,31.0,0.543408
2502.0,32.0,0.389324
2502.0,33.0,0.647659
2502.0,34.0,0.464427
2502.0,35.0,0.201028
2502.0,36.0,0.651518
2502.0,37.0,0.32085
2502.0,38.0,1.0
2502.0,39.0,0.395817
2502.0,40.0,0.702748
2502.0,41.0,0.0
2502.0,42.0,0.565718
2502.0,43.0,0.379962
2502.0,44.0,0.652607
2502.0,45.0,1.0
2502.0,46.0,0.268161
2502.0,47.0,0.434605
2502.0,48.0,0.697843
2502.0,49.0,1.0
2502.0,50.0,0.147412
2502.0,51.0,0.610336
2502.0,52.0,0.525773
2502.0,53.0,0.509029
2502.0,54.0,0.476567
2502.0,55.0,0.075223
2502.0,56.0,1.0
2502.0,57.0,0.426019
2502.0,58.0,0.567457
2502.0,59.0,1.0
2502.0,60.0,0.665457
2502.0,61.0,0.467198
2502.0,62.0,0.581959
2502.0,63.0,0.690183
2502.0,64.0,0.866669
2502.0,65.0,0.535728
2502.0,66.0,0.481264
2502.0,67.0,0.055913
2502.0,68.0,0.0
2502.0,69.0,0.0
2502.0,70.0,1.0
2502.0,71.0,0.450944
2502.0,72.0,0.36614
2502.0,73.0,0.613852
2502.0,74.0,0.371023
2502.0,75.0,1.0
2502.0,76.0,0.683578
2502.0,77.0,0.64831
2502.0,78.0,0.392322
2502.0,79.0,0.288471
2502.0,80.0,0.735779
2502.0,81.0,0.515269
2502.0,82.0,0.574263
2502.0,83.0,0.951958
2502.0,84.0,0.35916
2502.0,85.0,0.0
2502.0,86.0,0.690068
2502.0,87.0,0.877283
2502.0,88.0,0.0
2502.0,89.0,0.0
2502.0,90.0,0.623187
2502.0,91.0,0.625861
2502.0,92.0,0.665523
2502.0,93.0,0.320705
2502.0,94.0,0.253377
2502.0,95.0,0.492659
2502.0,96.0,0.721126
2502.0,97.0,0.22984
2502.0,98.0,0.049858
2502.0,99.0,0.0
2502.0,100.0,0.60211
2502.0,101.0,0.012377
2502.0,102.0,0.315015
2502.0,103.0,0.461879
2502.0,104.0,1.0
2502.0,105.0,0.804029
2502.0,106.0,1.0
2502.0,107.0,0.534978
2502.0,108.0,0.0
2502.0,109.0,0.0
2502.0,110.0,0.0
2502.0,111.0,0.287341
2502.0,112.0,0.495356
2502.0,113.0,0.187457
2502.0,114.0,0.551224
2502.0,115.0,0.0
2502.0,116.0,0.0
2502.0,117.0,0.940812
2502.0,118.0,0.028977
2502.0,119.0,0.804434
2502.0,120.0,0.697995
2502.0,121.0,0.483465
2502.0,122.0,0.843968
2502.0,123.0,1.0
2502.0,124.0,0.557141
2502.0,125.0,1.0
2502.0,126.0,0.429831
2503.0,0.0,0.614675
2503.0,1.0,0.022005
2503.0,2.0,1.0
2503.0,3.0,0.151484
2503.0,4.0,0.525285
2503.0,5.0,0.932343
2503.0,6.0,0.100553
2503.0,7.0,0.507381
2503.0,8.0,0.360996
2503.0,9.0,0.562024
2503.0,10.0,0.578936
2503.0,11.0,0.279032
2503.0,12.0,0.71305
2503.0,13.0,1.0
2503.0,14.0,0.496046
2503.0,15.0,0.795131
2503.0,16.0,0.577838
2503.0,17.0,0.446287
2503.0,18.0,0.47622
2503.0,19.0,0.707577
2503.0,20.0,1.0
2503.0,21.0,0.181277
2503.0,22.0,0.017369
2503.0,23.0,0.050105
2503.0,24.0,0.731282
2503.0,25.0,0.326414
2503.0,26.0,0.077861
2503.0,27.0,1.0
2503.0,28.0,0.322877
2503.0,29.0,0.352675
2503.0,30.0,0.998698
2503.0,31.0,0.635637
2503.0,32.0,0.388556
2503.0,33.0,0.669229
2503.0,34.0,0.473666
2503.0,35.0,0.20806
2503.0,36.0,0.655442
2503.0,37.0,0.336178
2503.0,38.0,1.0
2503.0,39.0,0.397625
2503.0,40.0,0.733869
2503.0,41.0,0.0
2503.0,42.0,0.572587
2503.0,43.0,0.388165
2503.0,44.0,0.657769
2503.0,45.0,1.0
2503.0,46.0,0.29713
2503.0,47.0,0.456681
2503.0,48.0,0.735236
2503.0,49.0,1.0
2503.0,50.0,0.154001
2503.0,51.0,0.605674
2503.0,52.0,0.53385
2503.0,53.0,0.531731
2503.0,54.0,0.496103
2503.0,55.0,0.079175
2503.0,56.0,1.0
2503.0,57.0,0.437183
2503.0,58.0,0.591517
2503.0,59.0,1.0
2503.0,60.0,0.68769
2503.0,61.0,0.473575
2503.0,62.0,0.592332
2503.0,63.0,0.693159
2503.0,64.0,0.875171
2503.0,65.0,0.538738
2503.0,66.0,0.571581
2503.0,67.0,0.056944
2503.0,68.0,0.0
2503.0,69.0,0.0
2503.0,70.0,1.0
2503.0,71.0,0.465357
2503.0,72.0,0.380766
2503.0,73.0,0.649484
2503.0,74.0,0.388852
2503.0,75.0,1.0
2503.0,76.0,0.707174
2503.0,77.0,0.811916
2503.0,78.0,0.403041
2503.0,79.0,0.299796
2503.0,80.0,0.745572
2503.0,81.0,0.551822
2503.0,82.0,0.578157
2503.0,83.0,0.952693
2503.0,84.0,0.364851
2503.0,85.0,0.0
2503.0,86.0,0.695225
2503.0,87.0,0.8835
2503.0,88.0,0.0
2503.0,89.0,0.0
2503.0,90.0,0.62542
2503.0,91.0,0.667007
2503.0,92.0,0.672607
2503.0,93.0,0.325344
2503.0,94.0,0.266088
2503.0,95.0,0.526621
2503.0,96.0,0.747254
2503.0,97.0,0.238181
2503.0,98.0,0.050731
2503.0,99.0,0.0
2503.0,100.0,0.607972
2503.0,101.0,0.012625
2503.0,102.0,0.316669
2503.0,103.0,0.482423
2503.0,104.0,1.0
2503.0,105.0,0.805812
2503.0,106.0,1.0
2503.0,107.0,0.570645
2503.0,108.0,0.0
2503.0,109.0,0.0
2503.0,110.0,0.0
2503.0,111.0,0.288555
2503.0,112.0,0.5048
2503.0,113.0,0.188288
2503.0,114.0,0.569854
2503.0,115.0,0.0
2503.0,116.0,0.0
2503.0,117.0,0.944206
2503.0,118.0,0.029064
2503.0,119.0,0.817246
2503.0,120.0,0.703207
2503.0,121.0,0.501834
2503.0,122.0,0.84528
2503.0,123.0,1.0
2503.0,124.0,0.566495
2503.0,125.0,1.0
2503.0,126.0,0.436392
2504.0,0.0,0.616257
2504.0,1.0,0.023023
2504.0,2.0,1.0
2504.0,3.0,0.155554
2504.0,4.0,0.530919
2504.0,5.0,0.934813
2504.0,6.0,0.104677
2504.0,7.0,0.514755
2504.0,8.0,0.378363
2504.0,9.0,0.632777
2504.0,10.0,0.597616
2504.0,11.0,0.323425
2504.0,12.0,0.715989
2504.0,13.0,1.0
2504.0,14.0,0.541967
2504.0,15.0,0.803196
2504.0,16.0,0.579321
2504.0,17.0,0.45321
2504.0,18.0,0.480375
2504.0,19.0,0.713377
2504.0,20.0,1.0
2504.0,21.0,0.182809
2504.0,22.0,0.019808
2504.0,23.0,0.050665
2504.0,24.0,0.736233
2504.0,25.0,0.335775
2504.0,26.0,0.085969
2504.0,27.0,1.0
2504.0,28.0,0.328261
2504.0,29.0,0.362459
2504.0,30.0,0.99874
2504.0,31.0,0.706736
2504.0,32.0,0.389815
2504.0,33.0,0.690203
2504.0,34.0,0.482615
2504.0,35.0,0.215591
2504.0,36.0,0.659584
2504.0,37.0,0.35082
2504.0,38.0,1.0
2504.0,39.0,0.398818
2504.0,40.0,0.761213
2504.0,41.0,0.0
2504.0,42.0,0.579255
2504.0,43.0,0.396149
2504.0,44.0,0.662487
2504.0,45.0,1.0
2504.0,46.0,0.327842
2504.0,47.0,0.480114
2504.0,48.0,0.767158
2504.0,49.0,1.0
2504.0,50.0,0.160579
2504.0,51.0,0.604655
2504.0,52.0,0.543066
2504.0,53.0,0.554232
2504.0,54.0,0.514037
2504.0,55.0,0.083256
2504.0,56.0,1.0
2504.0,57.0,0.447701
2504.0,58.0,0.612266
2504.0,59.0,1.0
2504.0,60.0,0.70815
2504.0,61.0,0.480261
2504.0,62.0,0.602346
2504.0,63.0,0.695027
2504.0,64.0,0.882962
2504.0,65.0,0.541272
2504.0,66.0,0.643207
2504.0,67.0,0.057685
2504.0,68.0,0.0
2504.0,69.0,0.0
2504.0,70.0,1.0
2504.0,71.0,0.477439
2504.0,72.0,0.39524
2504.0,73.0,0.680316
2504.0,74.0,0.405383
2504.0,75.0,1.0
2504.0,76.0,0.729099
2504.0,77.0,0.909221
2504.0,78.0,0.415391
2504.0,79.0,0.310466
2504.0,80.0,0.754539
2504.0,81.0,0.584477
2504.0,82.0,0.580482
2504.0,83.0,0.953268
2504.0,84.0,0.371379
2504.0,85.0,0.0
2504.0,86.0,0.702104
2504.0,87.0,0.888964
2504.0,88.0,0.0
2504.0,89.0,0.0
2504.0,90.0,0.62707
2504.0,91.0,0.70578
2504.0,92.0,0.679526
2504.0,93.0,0.330328
2504.0,94.0,0.279169
2504.0,95.0,0.558721
2504.0,96.0,0.770801
2504.0,97.0,0.245979
2504.0,98.0,0.050942
2504.0,99.0,0.0
2504.0,100.0,0.614563
2504.0,101.0,0.012805
2504.0,102.0,0.319229
2504.0,103.0,0.501218
2504.0,104.0,1.0
2504.0,105.0,0.80889
2504.0,106.0,1.0
2504.0,107.0,0.602292
2504.0,108.0,0.0
2504.0,109.0,0.0
2504.0,110.0,0.0
2504.0,111.0,0.289035
2504.0,112.0,0.512505
2504.0,113.0,0.189021
2504.0,114.0,0.587814
2504.0,115.0,0.0
2504.0,116.0,0.0
2504.0,117.0,0.946587
2504.0,118.0,0.029611
2504.0,119.0,0.828356
2504.0,120.0,0.709916
2504.0,121.0,0.521299
2504.0,122.0,0.846203
2504.0,123.0,1.0
2504.0,124.0,0.574853
2504.0,125.0,1.0
2504.0,126.0,0.442014
2505.0,0.0,0.617318
2505.0,1.0,0.023753
2505.0,2.0,1.0
2505.0,3.0,0.16008
2505.0,4.0,0.537888
2505.0,5.0,0.936954
2505.0,6.0,0.110221
2505.0,7.0,0.52206
2505.0,8.0,0.396336
2505.0,9.0,0.700904
2505.0,10.0,0.616771
2505.0,11.0,0.368771
2505.0,12.0,0.719995
2505.0,13.0,1.0
2505.0,14.0,0.588497
2505.0,15.0,0.811534
2505.0,16.0,0.580612
2505.0,17.0,0.459267
2505.0,18.0,0.483324
2505.0,19.0,0.719648
2505.0,20.0,1.0
2505.0,21.0,0.184272
2505.0,22.0,0.022393
2505.0,23.0,0.051428
2505.0,24.0,0.741712
2505.0,25.0,0.34525
2505.0,26.0,0.094874
2505.0,27.0,1.0
2505.0,28.0,0.332701
2505.0,29.0,0.371135
2505.0,30.0,0.998814
2505.0,31.0,0.762833
2505.0,32.0,0.390404
2505.0,33.0,0.710295
2505.0,34.0,0.491676
2505.0,35.0,0.222974
2505.0,36.0,0.664188
2505.0,37.0,0.36528
2505.0,38.0,1.0
2505.0,39.0,0.400214
2505.0,40.0,0.786902
2505.0,41.0,0.0
2505.0,42.0,0.586182
2505.0,43.0,0.404642
2505.0,44.0,0.66747
2505.0,45.0,1.0
2505.0,46.0,0.359629
2505.0,47.0,0.501612
2505.0,48.0,0.79485
2505.0,49.0,1.0
2505.0,50.0,0.168966
2505.0,51.0,0.606525
2505.0,52.0,0.552912
2505.0,53.0,0.575895
2505.0,54.0,0.53175
2505.0,55.0,0.08776
2505.0,56.0,1.0
2505.0,57.0,0.459354
2505.0,58.0,0.632458
2505.0,59.0,1.0
2505.0,60.0,0.727623
2505.0,61.0,0.486936
2505.0,62.0,0.610601
2505.0,63.0,0.696698
2505.0,64.0,0.890656
2505.0,65.0,0.542439
2505.0,66.0,0.698292
2505.0,67.0,0.058343
2505.0,68.0,0.0
2505.0,69.0,0.0
2505.0,70.0,1.0
