FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
2500.0,0.0,1.0
2500.0,1.0,0.696129
2500.0,2.0,0.310371
2500.0,3.0,0.00011
2500.0,4.0,0.526485
2500.0,5.0,0.131424
2500.0,6.0,0.59578
2500.0,7.0,1.0
2500.0,8.0,0.407123
2500.0,9.0,0.513495
2500.0,10.0,0.471877
2500.0,11.0,0.525896
2500.0,12.0,0.293081
2500.0,13.0,0.099969
2500.0,14.0,0.22799
2500.0,15.0,0.239678
2500.0,16.0,0.064651
2500.0,17.0,0.745613
2501.0,0.0,1.0
2501.0,1.0,0.703982
2501.0,2.0,0.391199
2501.0,3.0,0.000108
2501.0,4.0,0.564118
2501.0,5.0,0.147434
2501.0,6.0,0.622852
2501.0,7.0,1.0
2501.0,8.0,0.428243
2501.0,9.0,0.563981
2501.0,10.0,0.478584
2501.0,11.0,0.572689
2501.0,12.0,0.33336
2501.0,13.0,0.116712
2501.0,14.0,0.266642
2501.0,15.0,0.321536
2501.0,16.0,0.109116
2501.0,17.0,0.754199
2502.0,0.0,1.0
2502.0,1.0,0.711908
2502.0,2.0,0.462446
2502.0,3.0,9.1e-05
2502.0,4.0,0.598771
2502.0,5.0,0.163345
2502.0,6.0,0.646839
2502.0,7.0,1.0
2502.0,8.0,0.447526
2502.0,9.0,0.604912
2502.0,10.0,0.484861
2502.0,11.0,0.611815
2502.0,12.0,0.368563
2502.0,13.0,0.133777
2502.0,14.0,0.304143
2502.0,15.0,0.403097
2502.0,16.0,0.169645
2502.0,17.0,0.761081
2503.0,0.0,1.0
2503.0,1.0,0.718768
2503.0,2.0,0.524608
2503.0,3.0,9.8e-05
2503.0,4.0,0.629126
2503.0,5.0,0.180373
2503.0,6.0,0.66923
2503.0,7.0,1.0
2503.0,8.0,0.465901
2503.0,9.0,0.639041
2503.0,10.0,0.4901
2503.0,11.0,0.647087
2503.0,12.0,0.400864
2503.0,13.0,0.15229
2503.0,14.0,0.340244
2503.0,15.0,0.480142
2503.0,16.0,0.243109
2503.0,17.0,0.768011
2504.0,0.0,1.0
2504.0,1.0,0.725122
2504.0,2.0,0.576927
2504.0,3.0,8.2e-05
2504.0,4.0,0.657141
2504.0,5.0,0.19728
2504.0,6.0,0.69088
2504.0,7.0,1.0
2504.0,8.0,0.483234
2504.0,9.0,0.668571
2504.0,10.0,0.495219
2504.0,11.0,0.676275
2504.0,12.0,0.431508
2504.0,13.0,0.171308
2504.0,14.0,0.374608
2504.0,15.0,0.551371
2504.0,16.0,0.324181
2504.0,17.0,0.773502
2505.0,0.0,1.0
2505.0,1.0,0.730661
2505.0,2.0,0.621468
2505.0,3.0,7.5e-05
2505.0,4.0,0.681149
2505.0,5.0,0.215499
2505.0,6.0,0.710553
2505.0,7.0,1.0
2505.0,8.0,0.499919
2505.0,9.0,0.693969
2505.0,10.0,0.50041
2505.0,11.0,0.701952
2505.0,12.0,0.462238
2505.0,13.0,0.191142
2505.0,14.0,0.408122
2505.0,15.0,0.614942
2505.0,16.0,0.405211
2505.0,17.0,0.779252
2506.0,0.0,1.0
2506.0,1.0,0.723066
2506.0,2.0,0.559619
2506.0,3.0,6.0e-05
2506.0,4.0,0.645585
2506.0,5.0,0.193666
2506.0,6.0,0.685626
2506.0,7.0,1.0
2506.0,8.0,0.478846
2506.0,9.0,0.652745
2506.0,10.0,0.494517
2506.0,11.0,0.663299
2506.0,12.0,0.428202
2506.0,13.0,0.166074
2506.0,14.0,0.364692
2506.0,15.0,0.482244
2506.0,16.0,0.29115
2506.0,17.0,0.771296
2507.0,0.0,1.0
2507.0,1.0,0.715372
2507.0,2.0,0.495533
2507.0,3.0,6.3e-05
2507.0,4.0,0.61226
2507.0,5.0,0.174947
2507.0,6.0,0.662535
2507.0,7.0,1.0
2507.0,8.0,0.459101
2507.0,9.0,0.614377
2507.0,10.0,0.48791
2507.0,11.0,0.627091
2507.0,12.0,0.393375
2507.0,13.0,0.145647
2507.0,14.0,0.326392
2507.0,15.0,0.390916
2507.0,16.0,0.204862
2507.0,17.0,0.763658
2508.0,0.0,1.0
2508.0,1.0,0.708534
2508.0,2.0,0.430977
2508.0,3.0,5.1e-05
2508.0,4.0,0.581239
2508.0,5.0,0.159486
2508.0,6.0,0.639856
2508.0,7.0,1.0
2508.0,8.0,0.441032
2508.0,9.0,0.578597
2508.0,10.0,0.481565
2508.0,11.0,0.592261
2508.0,12.0,0.358213
2508.0,13.0,0.127597
2508.0,14.0,0.291036
2508.0,15.0,0.325658
2508.0,16.0,0.141131
2508.0,17.0,0.75568
2509.0,0.0,1.0
2509.0,1.0,0.701545
2509.0,2.0,0.366866
2509.0,3.0,5.6e-05
2509.0,4.0,0.552255
2509.0,5.0,0.145165
2509.0,6.0,0.616663
2509.0,7.0,1.0
2509.0,8.0,0.423793
2509.0,9.0,0.544519
2509.0,10.0,0.476036
2509.0,11.0,0.557779
2509.0,12.0,0.325109
2509.0,13.0,0.112323
2509.0,14.0,0.258371
2509.0,15.0,0.276712
2509.0,16.0,0.096512
2509.0,17.0,0.748832
2510.0,0.0,1.0
2510.0,1.0,0.694833
2510.0,2.0,0.306117
2510.0,3.0,5.5e-05
2510.0,4.0,0.524025
2510.0,5.0,0.132585
2510.0,6.0,0.595119
2510.0,7.0,1.0
2510.0,8.0,0.408153
2510.0,9.0,0.513245
2510.0,10.0,0.470747
2510.0,11.0,0.525338
2510.0,12.0,0.293315
2510.0,13.0,0.099958
2510.0,14.0,0.227287
2510.0,15.0,0.239629
2510.0,16.0,0.064837
2510.0,17.0,0.742563
