Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.87872e-07	1.15303e-06	433639.0	2.65621e-07	1.06454e-06	469685.0
2500	2.94656e-07	1.17691e-06	424840.0	2.80343e-07	1.11771e-06	447342.0
2501	2.77233e-07	1.10953e-06	450639.0	2.60465e-07	1.03826e-06	481576.0
2502	2.80091e-07	1.11874e-06	446932.0	2.87576e-07	1.14678e-06	436004.0
2503	3.01172e-07	1.20413e-06	415238.0	2.59944e-07	1.03863e-06	481401.0
2504	2.62837e-07	1.05059e-06	475925.0	2.69426e-07	1.07565e-06	464836.0
2505	3.09393e-07	1.23602e-06	404523.0	2.78242e-07	1.10906e-06	450833.0
2506	2.92349e-07	1.16813e-06	428033.0	2.4784e-07	1.00345e-06	498279.0
2507	2.93052e-07	1.17121e-06	426909.0	2.7551e-07	1.10462e-06	452644.0
2508	2.82725e-07	1.13146e-06	441905.0	2.79168e-07	1.11296e-06	449253.0
2509	2.6815e-07	1.07118e-06	466773.0	2.80764e-07	1.11921e-06	446745.0
2510	2.63142e-07	1.05369e-06	474522.0	3.00313e-07	1.20724e-06	414168.0
