Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.60097e-07	1.03888e-06	481287.0	3.34238e-07	1.33778e-06	373754.0
2500	2.56099e-07	1.02292e-06	488798.0	2.63872e-07	1.05172e-06	475409.0
2501	2.51558e-07	1.00996e-06	495069.0	2.44967e-07	9.78527e-07	510972.0
2502	2.32625e-07	9.30621e-07	537275.0	2.40027e-07	9.57476e-07	522206.0
2503	2.33699e-07	9.33586e-07	535569.0	2.68124e-07	1.06885e-06	467793.0
2504	2.62745e-07	1.05197e-06	475300.0	2.69223e-07	1.07335e-06	465833.0
2505	2.62761e-07	1.05204e-06	475269.0	2.78972e-07	1.11197e-06	449652.0
2506	2.5106e-07	1.00291e-06	498547.0	2.35393e-07	9.39392e-07	532259.0
2507	2.79429e-07	1.11649e-06	447833.0	2.32421e-07	9.2754e-07	539060.0
2508	2.48881e-07	9.94912e-07	502557.0	2.31442e-07	9.22711e-07	541881.0
2509	2.56213e-07	1.02337e-06	488583.0	2.40917e-07	9.6675e-07	517197.0
2510	2.63305e-07	1.05171e-06	475416.0	2.63115e-07	1.05387e-06	474442.0
