Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2500	0.00031913	0.00127568	391.699	0.000298169	0.0011913	419.461
2501	2.42223e-07	9.68274e-07	516383.0	2.40503e-07	9.60531e-07	520545.0
2502	2.45345e-07	9.80806e-07	509784.0	2.45931e-07	9.8263e-07	508838.0
2503	2.45262e-07	9.82654e-07	508826.0	2.5905e-07	1.03519e-06	483005.0
2504	2.32507e-07	9.29534e-07	537904.0	2.41943e-07	9.67106e-07	517006.0
2505	2.64571e-07	1.05768e-06	472733.0	2.57672e-07	1.03302e-06	484019.0
2506	2.4016e-07	9.60004e-07	520831.0	2.68693e-07	1.07286e-06	466043.0
2507	2.56673e-07	1.02595e-06	487353.0	2.7386e-07	1.09354e-06	457229.0
2508	2.63815e-07	1.05581e-06	473569.0	2.19435e-07	8.77197e-07	569997.0
2509	2.34123e-07	9.35819e-07	534291.0	2.39904e-07	9.68402e-07	516314.0
2510	2.50125e-07	1.00002e-06	499992.0	2.41937e-07	9.66159e-07	517513.0
