mut_pos	s_d	w_d	s_fx	w_fx
4.6033e+07	0.566932	0.445592	0.665669	0.813822
4.03572e+07	0.862848	0.49468	0.802338	0.406209
7.85404e+06	0.371806	0.96518	0.241076	0.479208
6.81399e+06	0.680598	0.929352	1.22616	1.09414
1.39443e+07	0.911656	0.144706	0.441632	0.43753
1.4798e+06	0.870867	0.33042	0.198131	0.251417
1.67745e+07	0.107419	0.913487	0.0984872	0.107101
5.59603e+07	0.658327	0.46694	1.20566	0.98552
3.53844e+07	0.662536	0.694754	0.603736	0.85894
3.9108e+07	0.80155	0.459881	0.502054	0.621788
5.44405e+06	0.838973	0.163999	0.79513	0.73027
3.12365e+06	0.398001	0.780047	0.241038	0.297398
5.6852e+07	0.917087	0.943554	0.118942	0.157308
3.82429e+06	0.17061	0.858802	0.687376	0.714559
4.58815e+07	0.896898	0.659069	1.99096	2.98964
3.35633e+07	0.679457	0.9283	0.780535	0.394127
3.29352e+07	0.377788	0.874148	5.66446	3.98146
6.06023e+07	0.29814	0.893106	2.88542	3.81977
