mut_pos	s_d	w_d	s_fx	w_fx
6.17189e+06	0.876055	0.874067	0.32619	0.346701
3.84769e+06	0.704143	0.821583	0.823952	1.40151
6.155e+07	0.245776	0.916215	0.654	0.525948
3.60097e+06	0.398143	0.854577	2.50814	3.08408
5.3079e+07	0.951792	0.78151	0.454383	0.584668
2.17521e+07	0.990147	0.147913	1.80088	1.05222
6.51372e+07	0.196858	0.867572	0.862119	0.695181
5.31922e+07	0.413645	0.731224	9.92642	14.068
1.37987e+06	0.376303	0.87644	4.79846	6.98809
3.14025e+07	0.348671	0.841642	2.09729	2.96762
6.5897e+07	0.75392	0.721387	0.260834	0.158026
5.13318e+07	0.431868	0.736193	3.55947	2.38025
1.72997e+07	0.435878	0.760907	4.06937	3.93193
2.81429e+07	0.412757	0.933102	0.98614	0.624252
6.89379e+06	0.80593	0.238553	2.13134	2.48539
1.38153e+07	0.0281032	0.987437	2.0125	1.55133
3.91988e+07	0.452681	0.592223	3.3966	2.17089
2.44092e+07	0.72932	0.71536	0.842005	0.84584
1.08991e+07	0.317326	0.958412	1.49992	1.47102
5.77594e+06	0.650054	0.558157	1.00835	0.800162
4.25999e+07	0.591644	0.633304	1.76997	1.41311
2.35169e+07	0.46309	0.61073	1.57972	1.45138
1.75104e+07	0.616564	0.828911	4.27461	3.99611
4.48371e+07	0.607348	0.652164	0.341561	0.578496
4.90722e+07	0.990706	0.678329	0.414734	0.407471
2.70823e+07	0.396232	0.755491	1.29793	1.49449
6.71545e+07	0.481417	0.82511	2.19281	1.66213
3.25161e+07	0.860166	0.183007	0.876354	0.871562
1.04e+07	0.828757	0.38324	1.30887	0.903602
5.59761e+07	0.943767	0.210196	0.638696	0.48223
3.02282e+07	0.988127	0.0863636	0.977599	1.39255
6.12069e+07	0.142399	0.870303	3.79359	4.3721
5.8274e+07	0.949598	0.293659	0.483336	0.263584
1.08946e+07	0.444958	0.789611	2.25427	1.515
5.54696e+07	0.0993103	0.98076	3.90841	1.92994
4.53635e+07	0.812926	0.937772	0.761105	0.792124
6.41693e+07	0.350406	0.887912	0.804956	0.549081
