mut_pos	s_d	w_d	s_fx	w_fx
4.15107e+07	0.943955	0.779451	0.32035	0.277482
3.44374e+07	0.492035	0.908651	0.950037	0.857813
4.36508e+06	0.810943	0.663559	0.875357	1.02156
6.27379e+07	0.6181	0.707319	2.70354	2.02122
5.84999e+07	0.887353	0.51038	0.480801	0.832743
2.21194e+07	0.775399	0.534193	2.58178	1.88926
4.72917e+07	0.792567	0.335877	0.733993	0.703142
6.076e+07	0.971291	0.392575	0.566925	0.564102
3.3075e+07	0.466143	0.813637	3.99247	3.96987
1.82535e+07	0.752365	0.987919	1.34342	2.67997
2.19156e+07	0.559398	0.914584	1.02445	0.735076
2.67071e+07	0.618897	0.528375	1.16246	2.62547
1.1548e+07	0.71106	0.513017	1.4165	0.723834
6.83849e+07	0.46846	0.590674	0.785255	0.550051
6.25841e+07	0.778144	0.716183	1.27109	0.752794
1.51606e+07	0.830348	0.279565	1.99481	2.05159
2.32589e+07	0.234314	0.880133	5.10707	3.78424
2.06445e+06	0.55405	0.556	0.604849	0.916618
