mut_pos	s_d	w_d	s_fx	w_fx
4.86528e+07	0.566225	0.633359	0.760469	0.915907
5.18998e+06	0.28937	0.844611	1.36775	1.37376
2.04341e+07	0.569866	0.458933	0.818711	0.93284
6.84957e+07	0.439122	0.985518	0.675304	0.539808
5.88513e+07	0.823895	0.885342	6.88775	8.2327
2.51736e+06	0.651265	0.481833	3.2231	2.31707
3.72188e+07	0.988453	0.94042	1.06291	0.995137
2.29273e+07	0.976718	0.963808	2.47253	4.70423
6.50647e+07	0.973371	0.248763	1.7336	1.64269
6.53668e+07	0.462601	0.878855	0.262244	0.341495
6.2353e+07	0.881555	0.291064	2.2789	2.504
5.88276e+07	0.725102	0.602812	0.783693	1.21469
3.07044e+07	0.88685	0.40601	0.50567	0.429614
5.10631e+07	0.931992	0.822923	0.926286	1.34254
2.80112e+07	0.484464	0.89897	0.78043	0.923653
5.51361e+07	0.201015	0.982686	1.11595	0.94326
6.06127e+07	0.790549	0.390634	1.08799	0.656075
5.04504e+07	0.841721	0.994655	3.59604	4.29923
1.52404e+07	0.954096	0.62069	0.704337	1.18846
8.2829e+06	0.863613	0.210912	0.45214	0.373636
3.95193e+07	0.897094	0.323729	0.282581	0.367516
6.08316e+07	0.909214	0.975969	0.79993	0.463905
1.30962e+07	0.912889	0.620789	0.902343	1.2018
2.4264e+07	0.653835	0.970209	3.98226	3.31233
3.49117e+07	0.697379	0.685885	0.510104	0.929439
564036.0	0.303397	0.787675	0.798484	0.44214
5.88087e+07	0.334552	0.875565	3.97307	3.24636
7.07915e+06	0.752694	0.608372	2.2949	1.55099
9.92827e+06	0.283035	0.838226	0.126556	0.164446
4.57911e+07	0.792949	0.405665	3.6097	5.91269
1.39368e+07	0.47453	0.841571	1.48456	1.96992
5.82142e+07	0.981456	0.267933	2.20463	2.19864
6.37949e+07	0.263552	0.827121	2.03148	1.87573
2.62968e+07	0.203692	0.905953	0.899276	1.91451
6.22095e+07	0.635197	0.83381	3.45949	2.71775
5.27576e+07	0.84486	0.846023	1.36235	1.43668
4.28073e+07	0.808174	0.803358	0.786604	0.724823
5.07048e+07	0.659724	0.785442	3.76444	2.38941
1.42382e+07	0.854312	0.371299	3.41276	4.14935
3.39859e+07	0.426136	0.98818	1.14799	1.17339
4.08261e+07	0.90589	0.881644	2.01491	2.1586
2.38466e+06	0.846665	0.262597	0.53297	0.850419
1.73775e+07	0.665471	0.505088	2.44101	2.81511
5.00683e+07	0.978849	0.12911	0.614978	0.712296
3.97059e+07	0.323106	0.751404	2.0408	3.15611
5.12695e+07	0.672913	0.412793	2.24839	1.85293
4.17808e+07	0.773298	0.872742	1.16636	2.4203
6.08053e+07	0.953783	0.239632	1.03714	1.45029
6.78768e+07	0.797438	0.617019	0.527829	0.503027
1.81571e+07	0.187075	0.979955	2.39325	2.92949
5.08676e+07	0.839116	0.896584	3.51037	2.52181
1.7879e+07	0.801061	0.592924	0.989433	1.81725
4.29123e+07	0.866936	0.77832	0.623085	1.33832
6.46354e+07	0.733149	0.861946	1.65312	0.27503
5.03548e+07	0.35384	0.82081	2.88653	1.57898
1.05377e+07	0.766001	0.499812	0.676569	0.353368
1.83306e+07	0.673918	0.609993	0.212879	0.301655
2.41811e+07	0.316698	0.930807	0.483672	0.497027
3.33518e+07	0.88927	0.323093	0.327116	0.821907
2.20753e+07	0.973592	0.956734	3.41089	4.44473
8.33719e+06	0.870252	0.599631	1.16982	1.35336
2.44906e+07	0.766748	0.574427	3.26023	2.32154
4.00846e+07	0.328382	0.804777	1.68425	2.06086
4.1187e+07	0.388378	0.855486	1.2881	1.2966
2.51912e+07	0.643337	0.441713	1.02279	0.657338
3.15418e+06	0.95506	0.897696	1.081	0.694876
8.22729e+06	0.779753	0.869208	0.839356	0.976481
5.66384e+06	0.944056	0.0610905	1.22487	1.86358
2.84657e+07	0.852902	0.248855	1.44981	1.29671
1.24462e+07	0.359786	0.760042	0.735714	1.40117
2.71334e+07	0.972267	0.195236	0.726786	0.975447
4.25251e+07	0.601819	0.822576	0.438292	0.698114
3.72396e+06	0.933853	0.370881	0.438944	0.275946
2.8294e+07	0.649102	0.810334	1.03945	1.48832
