FREQUENCIES 
Gen,mut_id,mut_freq
1.0,0.0,0.5
1.0,1.0,0.5
1.0,2.0,0.5
1.0,3.0,0.5
1.0,4.0,0.5
1.0,5.0,0.5
1.0,6.0,0.5
1.0,7.0,0.5
1.0,8.0,0.5
1.0,9.0,0.5
1.0,10.0,0.5
1.0,11.0,0.5
1.0,12.0,0.5
1.0,13.0,0.5
1.0,14.0,0.5
1.0,15.0,0.5
1.0,16.0,0.5
1.0,17.0,0.5
1.0,18.0,0.5
1.0,19.0,0.5
1.0,20.0,0.5
1.0,21.0,0.5
1.0,22.0,0.5
1.0,23.0,0.5
1.0,24.0,0.5
1.0,25.0,0.5
1.0,26.0,0.5
1.0,27.0,0.5
1.0,28.0,0.5
1.0,29.0,0.5
1.0,30.0,0.5
1.0,31.0,0.5
1.0,32.0,0.5
1.0,33.0,0.5
1.0,34.0,0.5
1.0,35.0,0.5
1.0,36.0,0.5
1.0,37.0,0.5
1.0,38.0,0.5
1.0,39.0,0.5
1.0,40.0,0.5
1.0,41.0,0.5
1.0,42.0,0.5
1.0,43.0,0.5
1.0,44.0,0.5
1.0,45.0,0.5
1.0,46.0,0.5
1.0,47.0,0.5
1.0,48.0,0.5
1.0,49.0,0.5
1.0,50.0,0.5
1.0,51.0,0.5
1.0,52.0,0.5
1.0,53.0,0.5
1.0,54.0,0.5
1.0,55.0,0.5
1.0,56.0,0.5
1.0,57.0,0.5
1.0,58.0,0.5
1.0,59.0,0.5
1.0,60.0,0.5
1.0,61.0,0.5
1.0,62.0,0.5
1.0,63.0,0.5
1.0,64.0,0.5
1.0,65.0,0.5
1.0,66.0,0.5
1.0,67.0,0.5
1.0,68.0,0.5
1.0,69.0,0.5
1.0,70.0,0.5
1.0,71.0,0.5
1.0,72.0,0.5
1.0,73.0,0.5
1.0,74.0,0.5
1.0,75.0,0.5
1.0,76.0,0.5
1.0,77.0,0.5
1.0,78.0,0.5
1.0,79.0,0.5
1.0,80.0,0.5
1.0,81.0,0.5
1.0,82.0,0.5
1.0,83.0,0.5
1.0,84.0,0.5
1.0,85.0,0.5
1.0,86.0,0.5
1.0,87.0,0.5
1.0,88.0,0.5
1.0,89.0,0.5
1.0,90.0,0.5
1.0,91.0,0.5
1.0,92.0,0.5
1.0,93.0,0.5
1.0,94.0,0.5
1.0,95.0,0.5
1.0,96.0,0.5
1.0,97.0,0.5
1.0,98.0,0.5
1.0,99.0,0.5
1.0,100.0,0.5
1.0,101.0,0.5
1.0,102.0,0.5
1.0,103.0,0.5
1.0,104.0,0.5
1.0,105.0,0.5
1.0,106.0,0.5
1.0,107.0,0.5
1.0,108.0,0.5
1.0,109.0,0.5
1.0,110.0,0.5
1.0,111.0,0.5
1.0,112.0,0.5
1.0,113.0,0.5
1.0,114.0,0.5
1.0,115.0,0.5
1.0,116.0,0.5
1.0,117.0,0.5
1.0,118.0,0.5
1.0,119.0,0.5
1.0,120.0,0.5
1.0,121.0,0.5
1.0,122.0,0.5
1.0,123.0,0.5
1.0,124.0,0.5
1.0,125.0,0.5
1.0,126.0,0.5
1.0,127.0,0.5
1.0,128.0,0.5
1.0,129.0,0.5
1.0,130.0,0.5
1.0,131.0,0.5
1.0,132.0,0.5
1.0,133.0,0.5
1.0,134.0,0.5
1.0,135.0,0.5
1.0,136.0,0.5
1.0,137.0,0.5
1.0,138.0,0.5
1.0,139.0,0.5
1.0,140.0,0.5
1.0,141.0,0.5
1.0,142.0,0.5
1.0,143.0,0.5
1.0,144.0,0.5
1.0,145.0,0.5
1.0,146.0,0.5
1.0,147.0,0.5
1000.0,0.0,0.532479
1000.0,1.0,0.500007
1000.0,2.0,0.515832
1000.0,3.0,0.487678
1000.0,4.0,0.466625
1000.0,5.0,0.506131
1000.0,6.0,0.492828
1000.0,7.0,0.466303
1000.0,8.0,0.504529
1000.0,9.0,0.485283
1000.0,10.0,0.511216
1000.0,11.0,0.498099
1000.0,12.0,0.492201
1000.0,13.0,0.47122
1000.0,14.0,0.498479
1000.0,15.0,0.512713
1000.0,16.0,0.492885
1000.0,17.0,0.489964
1000.0,18.0,0.505024
1000.0,19.0,0.476514
1000.0,20.0,0.508439
1000.0,21.0,0.494306
1000.0,22.0,0.483487
1000.0,23.0,0.496944
1000.0,24.0,0.495711
1000.0,25.0,0.499026
1000.0,26.0,0.49308
1000.0,27.0,0.483445
1000.0,28.0,0.505912
1000.0,29.0,0.516383
1000.0,30.0,0.507023
1000.0,31.0,0.494582
1000.0,32.0,0.495164
1000.0,33.0,0.483376
1000.0,34.0,0.478805
1000.0,35.0,0.479073
1000.0,36.0,0.477507
1000.0,37.0,0.50352
1000.0,38.0,0.475545
1000.0,39.0,0.48482
1000.0,40.0,0.496445
1000.0,41.0,0.518495
1000.0,42.0,0.478407
1000.0,43.0,0.485072
1000.0,44.0,0.507787
1000.0,45.0,0.489677
1000.0,46.0,0.512903
1000.0,47.0,0.502268
1000.0,48.0,0.48307
1000.0,49.0,0.485711
1000.0,50.0,0.498355
1000.0,51.0,0.480486
1000.0,52.0,0.497554
1000.0,53.0,0.490037
1000.0,54.0,0.518597
1000.0,55.0,0.516796
1000.0,56.0,0.524715
1000.0,57.0,0.464714
1000.0,58.0,0.504908
1000.0,59.0,0.493711
1000.0,60.0,0.497905
1000.0,61.0,0.492917
1000.0,62.0,0.488161
1000.0,63.0,0.476761
1000.0,64.0,0.481739
1000.0,65.0,0.521001
1000.0,66.0,0.497768
1000.0,67.0,0.493322
1000.0,68.0,0.53445
1000.0,69.0,0.508676
1000.0,70.0,0.494209
1000.0,71.0,0.489551
1000.0,72.0,0.48747
1000.0,73.0,0.492371
1000.0,74.0,0.510356
1000.0,75.0,0.510896
1000.0,76.0,0.492358
1000.0,77.0,0.502427
1000.0,78.0,0.484955
1000.0,79.0,0.50464
1000.0,80.0,0.505223
1000.0,81.0,0.5212
1000.0,82.0,0.512349
1000.0,83.0,0.520671
1000.0,84.0,0.529412
1000.0,85.0,0.468458
1000.0,86.0,0.486051
1000.0,87.0,0.48672
1000.0,88.0,0.517287
1000.0,89.0,0.519503
1000.0,90.0,0.527943
1000.0,91.0,0.50036
1000.0,92.0,0.490311
1000.0,93.0,0.502099
1000.0,94.0,0.500705
1000.0,95.0,0.493294
1000.0,96.0,0.522622
1000.0,97.0,0.497672
1000.0,98.0,0.49645
1000.0,99.0,0.49639
1000.0,100.0,0.50375
1000.0,101.0,0.507852
1000.0,102.0,0.537015
1000.0,103.0,0.506824
1000.0,104.0,0.507042
1000.0,105.0,0.498601
1000.0,106.0,0.477603
1000.0,107.0,0.490892
1000.0,108.0,0.508616
1000.0,109.0,0.518159
1000.0,110.0,0.480573
1000.0,111.0,0.481221
1000.0,112.0,0.485813
1000.0,113.0,0.522063
1000.0,114.0,0.515476
1000.0,115.0,0.500398
1000.0,116.0,0.493821
1000.0,117.0,0.486326
1000.0,118.0,0.509577
1000.0,119.0,0.507609
1000.0,120.0,0.485526
1000.0,121.0,0.468119
1000.0,122.0,0.490257
1000.0,123.0,0.492712
1000.0,124.0,0.503577
1000.0,125.0,0.511952
1000.0,126.0,0.524436
1000.0,127.0,0.498213
1000.0,128.0,0.493745
1000.0,129.0,0.490843
1000.0,130.0,0.506182
1000.0,131.0,0.499013
1000.0,132.0,0.476521
1000.0,133.0,0.486167
1000.0,134.0,0.497354
1000.0,135.0,0.523091
1000.0,136.0,0.511345
1000.0,137.0,0.519805
1000.0,138.0,0.514403
1000.0,139.0,0.503338
1000.0,140.0,0.474943
1000.0,141.0,0.528336
1000.0,142.0,0.521306
1000.0,143.0,0.500965
1000.0,144.0,0.544741
1000.0,145.0,0.509042
1000.0,146.0,0.482544
1000.0,147.0,0.482286
1001.0,0.0,0.532785
1001.0,1.0,0.499436
1001.0,2.0,0.516138
1001.0,3.0,0.487807
1001.0,4.0,0.466185
1001.0,5.0,0.506235
1001.0,6.0,0.49235
1001.0,7.0,0.466069
1001.0,8.0,0.504667
1001.0,9.0,0.485544
1001.0,10.0,0.510634
1001.0,11.0,0.498296
1001.0,12.0,0.492414
1001.0,13.0,0.471307
1001.0,14.0,0.499026
1001.0,15.0,0.513002
1001.0,16.0,0.492745
1001.0,17.0,0.488974
1001.0,18.0,0.504747
1001.0,19.0,0.476692
1001.0,20.0,0.508174
1001.0,21.0,0.494389
1001.0,22.0,0.483176
1001.0,23.0,0.497693
1001.0,24.0,0.495568
1001.0,25.0,0.49924
1001.0,26.0,0.49241
1001.0,27.0,0.483169
1001.0,28.0,0.506265
1001.0,29.0,0.516385
1001.0,30.0,0.506754
1001.0,31.0,0.494169
1001.0,32.0,0.494806
1001.0,33.0,0.483123
1001.0,34.0,0.479164
1001.0,35.0,0.479432
1001.0,36.0,0.477517
1001.0,37.0,0.503491
1001.0,38.0,0.474787
1001.0,39.0,0.48479
1001.0,40.0,0.497549
1001.0,41.0,0.519166
1001.0,42.0,0.478959
1001.0,43.0,0.485341
1001.0,44.0,0.50782
1001.0,45.0,0.489326
1001.0,46.0,0.513119
1001.0,47.0,0.502211
1001.0,48.0,0.483226
1001.0,49.0,0.485228
1001.0,50.0,0.498984
1001.0,51.0,0.480777
1001.0,52.0,0.497794
1001.0,53.0,0.490415
1001.0,54.0,0.519153
1001.0,55.0,0.516579
1001.0,56.0,0.524416
1001.0,57.0,0.464037
1001.0,58.0,0.504672
1001.0,59.0,0.494206
1001.0,60.0,0.497778
1001.0,61.0,0.492406
1001.0,62.0,0.487494
1001.0,63.0,0.476784
1001.0,64.0,0.482081
1001.0,65.0,0.520494
1001.0,66.0,0.498068
1001.0,67.0,0.492299
1001.0,68.0,0.534576
1001.0,69.0,0.509598
1001.0,70.0,0.494572
1001.0,71.0,0.489171
1001.0,72.0,0.488194
1001.0,73.0,0.492141
1001.0,74.0,0.511134
1001.0,75.0,0.510489
1001.0,76.0,0.491754
1001.0,77.0,0.502477
1001.0,78.0,0.485214
1001.0,79.0,0.504502
1001.0,80.0,0.504609
1001.0,81.0,0.522449
1001.0,82.0,0.511973
1001.0,83.0,0.520361
1001.0,84.0,0.529692
1001.0,85.0,0.468264
1001.0,86.0,0.485402
1001.0,87.0,0.487676
1001.0,88.0,0.517624
1001.0,89.0,0.51908
1001.0,90.0,0.528026
1001.0,91.0,0.500377
1001.0,92.0,0.490011
1001.0,93.0,0.502464
1001.0,94.0,0.500137
1001.0,95.0,0.492724
1001.0,96.0,0.522857
1001.0,97.0,0.497528
1001.0,98.0,0.496068
1001.0,99.0,0.496833
1001.0,100.0,0.504524
1001.0,101.0,0.507049
1001.0,102.0,0.536716
1001.0,103.0,0.506498
1001.0,104.0,0.507612
1001.0,105.0,0.49756
1001.0,106.0,0.477535
1001.0,107.0,0.49061
1001.0,108.0,0.509019
1001.0,109.0,0.518261
1001.0,110.0,0.480394
1001.0,111.0,0.480795
1001.0,112.0,0.486008
1001.0,113.0,0.52166
1001.0,114.0,0.51558
1001.0,115.0,0.50106
1001.0,116.0,0.493745
1001.0,117.0,0.486902
1001.0,118.0,0.508615
1001.0,119.0,0.506625
1001.0,120.0,0.48562
1001.0,121.0,0.467416
1001.0,122.0,0.490134
1001.0,123.0,0.492951
1001.0,124.0,0.503114
1001.0,125.0,0.512621
1001.0,126.0,0.524282
1001.0,127.0,0.498336
1001.0,128.0,0.493715
1001.0,129.0,0.489828
1001.0,130.0,0.506572
1001.0,131.0,0.498914
1001.0,132.0,0.476424
1001.0,133.0,0.485166
1001.0,134.0,0.497198
1001.0,135.0,0.522643
1001.0,136.0,0.511294
1001.0,137.0,0.520273
1001.0,138.0,0.514751
1001.0,139.0,0.503437
1001.0,140.0,0.474657
1001.0,141.0,0.528389
1001.0,142.0,0.521249
1001.0,143.0,0.501362
1001.0,144.0,0.544546
1001.0,145.0,0.509091
1001.0,146.0,0.481824
1001.0,147.0,0.482258
1002.0,0.0,0.534168
1002.0,1.0,0.499419
1002.0,2.0,0.515752
1002.0,3.0,0.487355
1002.0,4.0,0.466208
1002.0,5.0,0.505206
1002.0,6.0,0.492214
1002.0,7.0,0.465487
1002.0,8.0,0.50454
1002.0,9.0,0.485081
1002.0,10.0,0.510484
1002.0,11.0,0.49871
1002.0,12.0,0.492551
1002.0,13.0,0.471684
1002.0,14.0,0.498581
1002.0,15.0,0.51206
1002.0,16.0,0.492961
1002.0,17.0,0.488899
1002.0,18.0,0.505807
1002.0,19.0,0.476944
1002.0,20.0,0.508246
1002.0,21.0,0.494512
1002.0,22.0,0.482668
1002.0,23.0,0.496959
1002.0,24.0,0.49653
1002.0,25.0,0.499434
1002.0,26.0,0.491687
1002.0,27.0,0.483766
1002.0,28.0,0.506099
1002.0,29.0,0.515483
1002.0,30.0,0.50693
1002.0,31.0,0.494155
1002.0,32.0,0.495064
1002.0,33.0,0.483655
1002.0,34.0,0.478923
1002.0,35.0,0.479507
1002.0,36.0,0.477298
1002.0,37.0,0.504037
1002.0,38.0,0.475244
1002.0,39.0,0.484787
1002.0,40.0,0.497036
1002.0,41.0,0.518585
1002.0,42.0,0.478944
1002.0,43.0,0.484543
1002.0,44.0,0.508153
1002.0,45.0,0.488834
1002.0,46.0,0.512947
1002.0,47.0,0.502387
1002.0,48.0,0.48349
1002.0,49.0,0.484399
1002.0,50.0,0.499049
1002.0,51.0,0.480656
1002.0,52.0,0.498301
1002.0,53.0,0.490693
1002.0,54.0,0.519573
1002.0,55.0,0.515844
1002.0,56.0,0.525013
1002.0,57.0,0.46421
1002.0,58.0,0.505059
1002.0,59.0,0.493744
1002.0,60.0,0.496834
1002.0,61.0,0.492321
1002.0,62.0,0.487484
1002.0,63.0,0.476641
1002.0,64.0,0.482377
1002.0,65.0,0.52061
1002.0,66.0,0.498692
1002.0,67.0,0.49211
1002.0,68.0,0.534895
1002.0,69.0,0.510145
1002.0,70.0,0.494837
1002.0,71.0,0.489586
1002.0,72.0,0.487973
1002.0,73.0,0.492018
1002.0,74.0,0.51069
1002.0,75.0,0.510364
1002.0,76.0,0.491677
1002.0,77.0,0.502689
1002.0,78.0,0.485274
1002.0,79.0,0.504188
1002.0,80.0,0.504827
1002.0,81.0,0.521684
1002.0,82.0,0.512111
1002.0,83.0,0.521106
1002.0,84.0,0.529865
1002.0,85.0,0.468469
1002.0,86.0,0.48647
1002.0,87.0,0.48779
1002.0,88.0,0.518317
1002.0,89.0,0.519744
1002.0,90.0,0.528061
1002.0,91.0,0.500543
1002.0,92.0,0.48979
1002.0,93.0,0.502568
1002.0,94.0,0.500064
1002.0,95.0,0.492291
1002.0,96.0,0.522981
1002.0,97.0,0.497687
1002.0,98.0,0.495644
1002.0,99.0,0.498036
1002.0,100.0,0.504138
1002.0,101.0,0.506749
1002.0,102.0,0.536918
1002.0,103.0,0.507074
1002.0,104.0,0.507036
1002.0,105.0,0.496942
1002.0,106.0,0.476958
1002.0,107.0,0.490636
1002.0,108.0,0.508666
1002.0,109.0,0.519021
1002.0,110.0,0.480082
1002.0,111.0,0.480852
1002.0,112.0,0.485199
1002.0,113.0,0.521939
1002.0,114.0,0.516302
1002.0,115.0,0.501313
1002.0,116.0,0.493776
1002.0,117.0,0.486817
1002.0,118.0,0.508864
1002.0,119.0,0.506526
1002.0,120.0,0.484767
1002.0,121.0,0.467478
1002.0,122.0,0.489654
1002.0,123.0,0.492295
1002.0,124.0,0.503261
1002.0,125.0,0.512989
1002.0,126.0,0.524696
1002.0,127.0,0.497757
1002.0,128.0,0.493869
1002.0,129.0,0.489828
1002.0,130.0,0.506902
1002.0,131.0,0.499499
1002.0,132.0,0.475588
1002.0,133.0,0.485
1002.0,134.0,0.496526
1002.0,135.0,0.523501
1002.0,136.0,0.511824
1002.0,137.0,0.520126
1002.0,138.0,0.515485
1002.0,139.0,0.503391
1002.0,140.0,0.474871
1002.0,141.0,0.528365
1002.0,142.0,0.520479
1002.0,143.0,0.501269
1002.0,144.0,0.544161
1002.0,145.0,0.509078
1002.0,146.0,0.481622
1002.0,147.0,0.482406
1003.0,0.0,0.53502
1003.0,1.0,0.498478
1003.0,2.0,0.515434
1003.0,3.0,0.486985
1003.0,4.0,0.465684
1003.0,5.0,0.506199
1003.0,6.0,0.491453
1003.0,7.0,0.464744
1003.0,8.0,0.504649
1003.0,9.0,0.485372
1003.0,10.0,0.511075
1003.0,11.0,0.498232
1003.0,12.0,0.493392
1003.0,13.0,0.472323
1003.0,14.0,0.498593
1003.0,15.0,0.511051
1003.0,16.0,0.493394
1003.0,17.0,0.488475
1003.0,18.0,0.506139
1003.0,19.0,0.477686
1003.0,20.0,0.508082
1003.0,21.0,0.493946
1003.0,22.0,0.48214
1003.0,23.0,0.496586
1003.0,24.0,0.49606
1003.0,25.0,0.499207
1003.0,26.0,0.49153
1003.0,27.0,0.48337
1003.0,28.0,0.506009
1003.0,29.0,0.515921
1003.0,30.0,0.506622
1003.0,31.0,0.49467
1003.0,32.0,0.494955
1003.0,33.0,0.483702
1003.0,34.0,0.478844
1003.0,35.0,0.478774
1003.0,36.0,0.477722
1003.0,37.0,0.504244
1003.0,38.0,0.475951
1003.0,39.0,0.484361
1003.0,40.0,0.496374
1003.0,41.0,0.518271
1003.0,42.0,0.479123
1003.0,43.0,0.48452
1003.0,44.0,0.507603
1003.0,45.0,0.488954
1003.0,46.0,0.511642
1003.0,47.0,0.502386
1003.0,48.0,0.483667
1003.0,49.0,0.483716
1003.0,50.0,0.498384
1003.0,51.0,0.480225
1003.0,52.0,0.498594
1003.0,53.0,0.490624
1003.0,54.0,0.51871
1003.0,55.0,0.516563
1003.0,56.0,0.526131
1003.0,57.0,0.463859
1003.0,58.0,0.505606
1003.0,59.0,0.493946
1003.0,60.0,0.497154
1003.0,61.0,0.492363
1003.0,62.0,0.487006
1003.0,63.0,0.476207
1003.0,64.0,0.481978
1003.0,65.0,0.520976
1003.0,66.0,0.498881
1003.0,67.0,0.492249
1003.0,68.0,0.535436
1003.0,69.0,0.510308
1003.0,70.0,0.495164
1003.0,71.0,0.489051
1003.0,72.0,0.488659
1003.0,73.0,0.491904
1003.0,74.0,0.510507
1003.0,75.0,0.510002
1003.0,76.0,0.491904
1003.0,77.0,0.50353
1003.0,78.0,0.485766
1003.0,79.0,0.503493
1003.0,80.0,0.504808
1003.0,81.0,0.521552
1003.0,82.0,0.511789
1003.0,83.0,0.521266
1003.0,84.0,0.529972
1003.0,85.0,0.468563
1003.0,86.0,0.484776
1003.0,87.0,0.488127
1003.0,88.0,0.519475
1003.0,89.0,0.518823
1003.0,90.0,0.527658
1003.0,91.0,0.500973
1003.0,92.0,0.490014
1003.0,93.0,0.501985
1003.0,94.0,0.500399
1003.0,95.0,0.492476
1003.0,96.0,0.522804
1003.0,97.0,0.497819
1003.0,98.0,0.495152
1003.0,99.0,0.497896
1003.0,100.0,0.503592
1003.0,101.0,0.507044
1003.0,102.0,0.536576
1003.0,103.0,0.507372
1003.0,104.0,0.506018
1003.0,105.0,0.497133
1003.0,106.0,0.476573
1003.0,107.0,0.490286
1003.0,108.0,0.50832
1003.0,109.0,0.519577
1003.0,110.0,0.48099
1003.0,111.0,0.480981
1003.0,112.0,0.485781
1003.0,113.0,0.52238
1003.0,114.0,0.516454
1003.0,115.0,0.501159
1003.0,116.0,0.494177
1003.0,117.0,0.487493
1003.0,118.0,0.50935
1003.0,119.0,0.506524
1003.0,120.0,0.484208
1003.0,121.0,0.468138
1003.0,122.0,0.489805
1003.0,123.0,0.491185
1003.0,124.0,0.50237
1003.0,125.0,0.514306
1003.0,126.0,0.5245
1003.0,127.0,0.498247
1003.0,128.0,0.493265
1003.0,129.0,0.489758
1003.0,130.0,0.507575
1003.0,131.0,0.499719
1003.0,132.0,0.475292
1003.0,133.0,0.48519
1003.0,134.0,0.495598
1003.0,135.0,0.523341
1003.0,136.0,0.51155
1003.0,137.0,0.520489
1003.0,138.0,0.51572
1003.0,139.0,0.502756
1003.0,140.0,0.475186
1003.0,141.0,0.52863
1003.0,142.0,0.521351
1003.0,143.0,0.501371
1003.0,144.0,0.544242
1003.0,145.0,0.509164
1003.0,146.0,0.481881
1003.0,147.0,0.48262
1004.0,0.0,0.534966
1004.0,1.0,0.497503
1004.0,2.0,0.515287
1004.0,3.0,0.486315
1004.0,4.0,0.465034
1004.0,5.0,0.506193
1004.0,6.0,0.491417
1004.0,7.0,0.464621
1004.0,8.0,0.504705
1004.0,9.0,0.485777
1004.0,10.0,0.510898
1004.0,11.0,0.497804
1004.0,12.0,0.493398
1004.0,13.0,0.471202
1004.0,14.0,0.49854
1004.0,15.0,0.511827
1004.0,16.0,0.493218
1004.0,17.0,0.488512
1004.0,18.0,0.505932
1004.0,19.0,0.477595
1004.0,20.0,0.507852
1004.0,21.0,0.494547
1004.0,22.0,0.482327
1004.0,23.0,0.496811
1004.0,24.0,0.496037
1004.0,25.0,0.499278
1004.0,26.0,0.492093
1004.0,27.0,0.483009
1004.0,28.0,0.505921
1004.0,29.0,0.516593
1004.0,30.0,0.506992
1004.0,31.0,0.495679
1004.0,32.0,0.494977
1004.0,33.0,0.483481
1004.0,34.0,0.478411
1004.0,35.0,0.478161
1004.0,36.0,0.476777
1004.0,37.0,0.504302
1004.0,38.0,0.476069
1004.0,39.0,0.483876
1004.0,40.0,0.496438
1004.0,41.0,0.517269
1004.0,42.0,0.478568
1004.0,43.0,0.484636
1004.0,44.0,0.507495
1004.0,45.0,0.488822
1004.0,46.0,0.511399
1004.0,47.0,0.502598
1004.0,48.0,0.483676
1004.0,49.0,0.483049
1004.0,50.0,0.498728
1004.0,51.0,0.48082
1004.0,52.0,0.498229
1004.0,53.0,0.49041
1004.0,54.0,0.518334
1004.0,55.0,0.516766
1004.0,56.0,0.526212
1004.0,57.0,0.464029
1004.0,58.0,0.505614
1004.0,59.0,0.494362
1004.0,60.0,0.497624
1004.0,61.0,0.492616
1004.0,62.0,0.486378
1004.0,63.0,0.475356
1004.0,64.0,0.481947
1004.0,65.0,0.521178
1004.0,66.0,0.499153
1004.0,67.0,0.492528
1004.0,68.0,0.535867
1004.0,69.0,0.510207
1004.0,70.0,0.496252
1004.0,71.0,0.488255
1004.0,72.0,0.488404
1004.0,73.0,0.491636
1004.0,74.0,0.510192
1004.0,75.0,0.509115
1004.0,76.0,0.491805
1004.0,77.0,0.503859
1004.0,78.0,0.48598
1004.0,79.0,0.503361
1004.0,80.0,0.505171
1004.0,81.0,0.521508
1004.0,82.0,0.511718
1004.0,83.0,0.521201
1004.0,84.0,0.529993
1004.0,85.0,0.468675
